team_name,player_name,gp,team_ast,team_fg,team_id,player_id,MP,PTS,3P,AST,TO,FG,FT,FGA,STL,PF,FTA,TRB,ORB,DRB,BLK,pace_factor,factors,VOP,DRB%,uPER,Pace_Adjustment,aPER,aPER_Weights,PER
Albion,Adam_Davis,18,15,27,13,1,11.6111,3,0.22,0.44,0.56,1,0.78,2.5,0.28,1.28,1.06,1.72,0.5,1.22,0.06,88.41304348,0.59963225,0.979272097,0.732420171,0.089892999,0.936215773,0.084159243,0.000238644,7.033424015
Albion,Aquavius_Burks,23,15,27,13,2,17.3478,5.87,0.65,1.48,1.43,2,1.22,5.04,0.48,1.48,1.83,3,0.65,2.35,0,88.41304348,0.59963225,0.979272097,0.732420171,0.143558638,0.936215773,0.134401861,0.00056941,11.23234047
Albion,Arshawn_Parker,18,15,27,13,3,10.6667,4.78,0.83,0.78,0.5,1.61,0.72,4.28,0.33,0.39,0.94,0.89,0.22,0.67,0,88.41304348,0.59963225,0.979272097,0.732420171,0.223245282,0.936215773,0.209005754,0.000544457,17.46719708
Albion,Austin_Thompson,5,15,27,13,4,2.6,0.4,0,0.6,0,0,0.4,0.2,0,0.2,0.4,0.2,0,0.2,0,88.41304348,0.59963225,0.979272097,0.732420171,0.149081024,0.936215773,0.139572006,8.86E-05,11.66442404
Albion,Caden_Ebeling,25,15,27,13,5,14.84,5.48,0.32,0.64,0.8,2.04,1.08,5.32,0.08,1.84,1.4,3.84,1.16,2.68,0.12,88.41304348,0.59963225,0.979272097,0.732420171,0.135505134,0.936215773,0.126862044,0.000459771,10.60221682
Albion,Corey_Wheeler,22,15,27,13,6,23.6364,13.14,0.86,2.64,1.77,4.41,3.45,9.55,0.95,1.95,4.68,4.68,1.5,3.18,0.18,88.41304348,0.59963225,0.979272097,0.732420171,0.343610929,0.936215773,0.321693972,0.001856948,26.88486746
Albion,Dylan_Bennett,19,15,27,13,7,14.8421,2.95,0.89,0.47,0.21,1,0.05,3,0.32,1.42,0.11,1.26,0,1.26,0.05,88.41304348,0.59963225,0.979272097,0.732420171,0.057728865,0.936215773,0.054046674,0.000195902,4.516832131
Albion,Jaylen_Fordham,25,15,27,13,9,18.48,6.52,1.36,1.52,1.72,2.28,0.6,5.92,0.32,2.08,0.88,3.76,0.68,3.08,0.2,88.41304348,0.59963225,0.979272097,0.732420171,0.131542395,0.936215773,0.123152065,0.000555801,10.29216348
Albion,Juwan_Perry,14,15,27,13,10,11.9286,5,0.64,1.07,0.79,1.71,0.93,3.86,0.21,1.36,1.5,1,0.43,0.57,0,88.41304348,0.59963225,0.979272097,0.732420171,0.166794128,0.936215773,0.156155294,0.000454906,13.05033585
Albion,Nathaniel_Collins,20,15,27,13,11,19.2,8.5,1.15,0.7,1.05,2.8,1.75,6.9,0.5,2.1,2.3,1.85,0.2,1.65,0.15,88.41304348,0.59963225,0.979272097,0.732420171,0.156574255,0.936215773,0.146587287,0.000687342,12.25071072
Albion,Nathan_Kellum,17,15,27,13,12,6.7647,1.59,0,0.18,0.53,0.65,0.29,1.53,0.29,0.47,0.41,1.12,0.29,0.82,0.41,88.41304348,0.59963225,0.979272097,0.732420171,0.121588707,0.936215773,0.113833265,0.000188059,9.513365234
Albion,Ojani_Echevarria,6,15,27,13,13,8.1667,1.5,0.5,0.67,0.67,0.5,0,2.33,0.17,0.33,0,1.5,0.5,1,0,88.41304348,0.59963225,0.979272097,0.732420171,0.036374965,0.936215773,0.034054816,6.79E-05,2.846056472
Albion,Quinton_Armstrong,23,15,27,13,14,16.913,8.43,0.26,0.57,1.22,3.7,0.78,6.78,0.17,2.09,1.52,4.48,2.04,2.43,0.7,88.41304348,0.59963225,0.979272097,0.732420171,0.291477715,0.936215773,0.272886034,0.001127139,22.80585121
Albion,Robert_Ryan,25,15,27,13,15,18.04,3.56,0.52,2.12,1.28,1,1.04,3.32,0.48,1.04,1.32,1.6,0.44,1.16,0,88.41304348,0.59963225,0.979272097,0.732420171,0.089849662,0.936215773,0.084118671,0.000370599,7.03003326
Albion,Ryan_Lowe,23,15,27,13,16,14.3913,7.17,0,0.96,1.22,3,1.17,4.43,0.17,2.35,1.91,5,1.91,3.09,0.35,88.41304348,0.59963225,0.979272097,0.732420171,0.338507807,0.936215773,0.316916348,0.001113833,26.48558806
Carthage,Adam_Radcliffe,5,13,26,7,17,2.2,0.4,0,0,0,0.2,0,0.6,0,0.2,0.2,0,0,0,0,80.44,0.59963225,0.979272097,0.732420171,-0.121543565,1.029011509,-0.125069727,-6.72E-05,-10.45242787
Carthage,Brad_Kruse,25,13,26,7,18,36.76,16.12,1.2,2.92,2.48,5.96,3,10.52,2.08,2.44,4.48,7.12,2.64,4.48,1.48,80.44,0.59963225,0.979272097,0.732420171,0.370899876,1.029011509,0.381660241,0.00342632,31.89641682
Carthage,Brad_Perry,25,13,26,7,19,23.52,10.04,0,0.6,1.72,4.4,1.24,7.8,0.28,2.16,2.36,5.92,1.32,4.6,1.64,80.44,0.59963225,0.979272097,0.732420171,0.266019777,1.029011509,0.273737412,0.001572342,22.8770033
Carthage,Dan_Messina,5,13,26,7,21,1.8,0.4,0,0.2,0.2,0,0.4,0.4,0,0,0.4,0.2,0,0.2,0,80.44,0.59963225,0.979272097,0.732420171,-0.057703493,1.029011509,-0.059377559,-2.61E-05,-4.962349113
Carthage,Derek_Mason_II,24,13,26,7,22,23.5833,8.88,1.13,1.79,2.25,3,1.75,8,0.92,2.67,2.08,1.58,0.46,1.13,0.08,80.44,0.59963225,0.979272097,0.732420171,0.102879091,1.029011509,0.105863769,0.000609716,8.847332091
Carthage,Dimitrije_Kastratovic,8,13,26,7,23,3,0,0,0,0.38,0,0,0,0,0.25,0,0.38,0,0.38,0,80.44,0.59963225,0.979272097,0.732420171,-0.184976452,1.029011509,-0.190342898,-0.000139455,-15.90748985
Carthage,Jacob_Polglase,13,13,26,7,24,9.3077,2.23,0.54,0.62,0.15,0.69,0.31,2.38,0.15,0.38,0.54,1.31,0.23,1.08,0,80.44,0.59963225,0.979272097,0.732420171,0.122144603,1.029011509,0.125688202,0.000285701,10.50411559
Carthage,Jordan_Thomas,24,13,26,7,25,33.9167,17.75,2.63,2.13,1.21,5.75,3.63,13.33,0.96,1.42,4.21,5.5,0.96,4.54,0,80.44,0.59963225,0.979272097,0.732420171,0.336971644,1.029011509,0.3467477,0.002872121,28.97867778
Carthage,Jordan_Vedder,12,13,26,7,26,8.5833,2.58,0.75,0.25,0.67,0.92,0,2.83,0,1.17,0,1.08,0.17,0.92,0.17,80.44,0.59963225,0.979272097,0.732420171,0.001026274,1.029011509,0.001056048,2.21E-06,0.088256868
Carthage,Kamal_Shasi,18,13,26,7,27,26.3889,5,0.78,3.44,1.44,1.56,1.11,4.28,1,2.44,1.28,4.33,0.72,3.61,0.33,80.44,0.59963225,0.979272097,0.732420171,0.151319903,1.029011509,0.155709921,0.00100349,13.01311484
Carthage,Kienan_Baltimore,13,13,26,7,28,27.4615,16.69,1.46,2.15,2.92,5.15,4.92,11.31,0.62,3.54,6.15,3.31,1.08,2.23,0.15,80.44,0.59963225,0.979272097,0.732420171,0.258270097,1.029011509,0.265762902,0.001782355,22.21055112
Carthage,Mike_Canady,19,13,26,7,29,8.4211,1.79,0.32,0.53,0.47,0.58,0.32,1.58,0.16,0.63,0.47,1,0.11,0.89,0,80.44,0.59963225,0.979272097,0.732420171,0.069659944,1.029011509,0.071680884,0.000147417,5.990572492
Carthage,Sean_Johnson,23,13,26,7,30,15.7826,3.83,0,0.39,0.57,1.48,0.87,2.57,0.17,1.65,1.61,3.83,1.3,2.52,2,80.44,0.59963225,0.979272097,0.732420171,0.237522923,1.029011509,0.244413822,0.000942063,20.42634858
Carthage,Steve_Leazer,25,13,26,7,31,16.48,3.04,0.56,0.96,0.4,0.92,0.64,3.48,0.4,1.84,1.24,1.96,0.4,1.56,0.16,80.44,0.59963225,0.979272097,0.732420171,0.036406262,1.029011509,0.037462462,0.000150775,3.130843052
Carthage,Tj_Best,16,13,26,7,32,7.6875,1.25,0.19,0.19,0.44,0.38,0.31,1.19,0.19,0.44,0.38,0.19,0,0.19,0,80.44,0.59963225,0.979272097,0.732420171,-0.002884686,1.029011509,-0.002968375,-5.57E-06,-0.24807543
Chicago,Cole_Schmitz,20,15,21,12,34,7.95,2,0,0.9,0.2,0.95,0.1,2.35,0.3,0.8,0.1,2.1,0.85,1.25,0.05,81.62,0.59963225,0.979272097,0.732420171,0.213656814,1.014134842,0.216676819,0.000420683,18.10828949
Chicago,Collin_Barthel,23,15,21,12,35,31.1304,13.39,0.87,2.3,2.04,4.48,3.57,10.52,1.09,2.04,4.65,8.74,2.43,6.3,0.3,81.62,0.59963225,0.979272097,0.732420171,0.266514157,1.014134842,0.270281292,0.002054831,22.58816564
Chicago,Dominic_Laravie,25,15,21,12,36,7.72,2.56,0.12,0.2,0.36,0.96,0.52,2.44,0.12,0.64,1,2.28,1.12,1.16,0.08,81.62,0.59963225,0.979272097,0.732420171,0.1781583,1.014134842,0.180676539,0.000340639,15.09964515
Chicago,Jake_Berhorst,24,15,21,12,38,9.8333,2.71,0.58,0.83,1,0.92,0.29,2.46,0.04,0.58,0.42,1.17,0.13,1.04,0,81.62,0.59963225,0.979272097,0.732420171,0.067931739,1.014134842,0.068891944,0.000165441,5.757492966
Chicago,Jake_Fenlon,25,15,21,12,39,31,17.44,4,1.44,1.76,5.6,2.24,13.8,0.56,1.36,2.72,2,0.32,1.68,0.12,81.62,0.59963225,0.979272097,0.732420171,0.251810244,1.014134842,0.255369542,0.001933331,21.3419489
Chicago,Jordan_Baum,25,15,21,12,40,30.08,7.4,1.96,5.68,2.16,2.44,0.56,6.2,1.4,1.88,0.68,4.68,0.24,4.44,0.44,81.62,0.59963225,0.979272097,0.732420171,0.226854914,1.014134842,0.230061473,0.001690041,19.22688252
Chicago,Justin_Jackson,25,15,21,12,41,15.08,6.08,0.12,0.88,0.96,2,1.96,4.4,0.2,1.64,3.28,2.6,1.52,1.08,0.08,81.62,0.59963225,0.979272097,0.732420171,0.164194103,1.014134842,0.16651496,0.000613239,13.91612226
Chicago,Mattia_Colangelo,24,15,21,12,43,6.2917,0.96,0.29,0.42,0.38,0.33,0,1.33,0.13,0.33,0,1.08,0.29,0.79,0.17,81.62,0.59963225,0.979272097,0.732420171,0.074359714,1.014134842,0.075410777,0.000115872,6.302290109
Chicago,Max_Jacobs,25,15,21,12,44,13.6,3.68,0.12,0.96,0.92,1.28,1,2.4,0.6,1.52,1.48,2.36,0.68,1.68,0,81.62,0.59963225,0.979272097,0.732420171,0.1484471,1.014134842,0.150545376,0.000500014,12.5814993
Chicago,Noah_Karras,25,15,21,12,45,23.84,9.36,1.84,1.08,1.04,3.4,0.72,9.08,0.32,2,0.92,2.2,0.32,1.88,0.28,81.62,0.59963225,0.979272097,0.732420171,0.128739178,1.014134842,0.130558886,0.000760131,10.91117227
Chicago,Ryan_Jacobsen,22,15,21,12,47,20.8636,7.27,0.14,1.09,1.36,2.73,1.68,5,0.45,2.68,3.27,6.09,2.45,3.64,0.32,81.62,0.59963225,0.979272097,0.732420171,0.202775614,1.014134842,0.205641815,0.001047795,17.18606323
Chicago,Sam_Sustacek,25,15,21,12,49,10.44,4,0,0.68,0.6,1.56,0.88,2.64,0.24,1.48,1.68,2.72,1.08,1.64,0.04,81.62,0.59963225,0.979272097,0.732420171,0.218451127,1.014134842,0.221538899,0.000564841,18.51462714
CornellCollege,Austin_Dyer,7,16,24,11,50,5.4286,0.57,0,0.29,0.57,0.29,0,1.14,0,0.43,0,1.57,0.86,0.71,0.14,81.07142857,0.59963225,0.979272097,0.732420171,0.017537729,1.020997006,0.017905969,2.37E-05,1.496452046
CornellCollege,Brad_Hund,14,16,24,11,51,22.0714,8.64,0.43,1.07,1.57,3.57,1.07,6.86,0.29,2,2.29,5.71,1.86,3.86,0.64,81.07142857,0.59963225,0.979272097,0.732420171,0.222525839,1.020997006,0.227198216,0.001224645,18.98759211
CornellCollege,Cody_Carter,13,16,24,11,53,11,2.62,0.62,0.62,0.92,0.92,0.15,2.92,0.31,0.46,0.31,1.69,0.38,1.31,0.15,81.07142857,0.59963225,0.979272097,0.732420171,0.083619032,1.020997006,0.085374782,0.000229349,7.135009951
CornellCollege,Cooper_Kabela,14,16,24,11,54,10.8571,3,0.14,0.43,0.57,1.07,0.71,2.07,0.14,0.43,1,1.86,0.36,1.5,0.14,81.07142857,0.59963225,0.979272097,0.732420171,0.16779171,1.020997006,0.171314833,0.000454239,14.31726108
CornellCollege,Corey_Davis,14,16,24,11,55,24.1429,12.71,0.21,4.14,3.79,4.43,3.64,9.79,2.86,2,5.64,4.79,0.79,4,0.21,81.07142857,0.59963225,0.979272097,0.732420171,0.304994451,1.020997006,0.311398421,0.001836037,26.02443942
CornellCollege,Craig_Engle,12,16,24,11,56,18.5,4.33,0.83,1.17,1.08,1.25,1,4,0.17,1.08,1.08,1.08,0.08,1,0,81.07142857,0.59963225,0.979272097,0.732420171,0.05132623,1.020997006,0.052403927,0.000236761,4.379543191
CornellCollege,Dylan_Murdock,5,16,24,11,57,3.8,0.4,0,0.2,0.2,0.2,0,0.4,0.2,0,0,0.6,0,0.6,0,81.07142857,0.59963225,0.979272097,0.732420171,0.124055102,1.020997006,0.126659888,0.000117543,10.58532205
CornellCollege,Jan_Siegien,12,16,24,11,59,12.75,4,0.83,0.33,0.83,1.42,0.33,4,0.33,0.75,0.67,1.17,0,1.17,0.08,81.07142857,0.59963225,0.979272097,0.732420171,0.072104755,1.020997006,0.073618739,0.000229231,6.15252446
CornellCollege,Jon_Anderson,14,16,24,11,60,20.7857,12.79,0,0.29,1.36,4.64,3.5,7.79,0.71,3.14,5.29,6.93,1.71,5.21,0.64,81.07142857,0.59963225,0.979272097,0.732420171,0.348955929,1.020997006,0.356282959,0.00180857,29.77556613
CornellCollege,Jordan_Venters,5,16,24,11,62,3.2,3,0.8,0.2,0.4,1,0.2,2.4,0.4,0,0.4,0.2,0,0.2,0,81.07142857,0.59963225,0.979272097,0.732420171,0.514430053,1.020997006,0.525231544,0.000410465,43.89507325
CornellCollege,Keegan_Van_Kooten,14,16,24,11,64,11.1429,1.93,0.21,0.5,0.93,0.64,0.43,3.5,0.43,1.5,0.79,1.43,0.5,0.93,0.36,81.07142857,0.59963225,0.979272097,0.732420171,-0.090373002,1.020997006,-0.092270564,-0.000251094,-7.711309824
CornellCollege,Michael_Drew,14,16,24,11,65,19.2857,5.29,0.29,1,1.29,1.79,1.43,4.36,0.71,1.14,1.86,4,0.64,3.36,0,81.07142857,0.59963225,0.979272097,0.732420171,0.142539854,1.020997006,0.145532764,0.000685444,12.16258126
CornellCollege,Michael_Fiorito,14,16,24,11,66,15.5,5.07,1.14,1.36,1.5,1.5,0.93,4.29,0.5,1.14,1.57,1.64,0.14,1.5,0,81.07142857,0.59963225,0.979272097,0.732420171,0.099971743,1.020997006,0.10207085,0.000386375,8.530347196
CornellCollege,Scott_Gasik,6,16,24,11,67,7,3.5,1,0.17,0.17,1.17,0.17,2.5,0.17,0.67,0.67,0.83,0.5,0.33,0,81.07142857,0.59963225,0.979272097,0.732420171,0.277259175,1.020997006,0.283080788,0.000483932,23.65785541
DominicanIL,Andrew_Wojcik,16,12,24,3,68,6.9375,2.69,0.25,0.88,0.94,0.88,0.69,2.13,0.19,0.88,0.94,0.75,0.06,0.69,0,81.86,0.59963225,0.979272097,0.732420171,0.090362542,1.011161566,0.09137113,0.000154806,7.636141599
DominicanIL,Antonio_Amoah,22,12,24,3,69,14.0909,5.45,0.41,0.64,1.14,2.14,0.77,4.64,0.64,1.27,1.18,2.95,1,1.95,0.05,81.86,0.59963225,0.979272097,0.732420171,0.204755901,1.011161566,0.207041297,0.000712478,17.30302192
DominicanIL,Arrin_Westbrook,10,12,24,3,70,4.6,2.1,0.1,0.4,0.3,1,0,2.4,0,0.4,0,0.8,0.2,0.6,0,81.86,0.59963225,0.979272097,0.732420171,0.148241437,1.011161566,0.149896043,0.000168393,12.52723277
DominicanIL,Connor_Dartt,25,12,24,3,71,14.32,2.6,0.12,0.36,1.28,0.88,0.72,3.2,0.44,2.12,1.2,3.4,1.08,2.32,0.2,81.86,0.59963225,0.979272097,0.732420171,-0.023432496,1.011161566,-0.023694039,-8.29E-05,-1.980177327
DominicanIL,Dennis_Handy,23,12,24,3,72,13.3478,2.7,0.3,0.7,0.83,1.04,0.3,3.35,0.48,1.61,0.61,1.35,0.57,0.78,0.17,81.86,0.59963225,0.979272097,0.732420171,0.01083751,1.011161566,0.010958474,3.57E-05,0.915830396
DominicanIL,Domenic_Aiello,25,12,24,3,73,17.96,7.4,1.64,1.92,1.8,2.44,0.88,6.36,1.28,2.04,1.52,1.4,0.12,1.28,0.04,81.86,0.59963225,0.979272097,0.732420171,0.171729034,1.011161566,0.173645799,0.000761634,14.51206644
DominicanIL,Isaac_Moore,19,12,24,3,74,17.2632,5.68,1.21,0.47,0.74,2,0.47,5.79,0.68,2.47,0.63,3.89,0.42,3.47,0.05,81.86,0.59963225,0.979272097,0.732420171,0.106923521,1.011161566,0.108116955,0.000455817,9.03563713
DominicanIL,Jackson_Smith,25,12,24,3,75,13.48,5.56,0.84,0.56,0.96,2,0.72,5.32,0.32,1.32,1.28,1.56,0.72,0.84,0.12,81.86,0.59963225,0.979272097,0.732420171,0.128306615,1.011161566,0.129738718,0.000427105,10.84262852
DominicanIL,Jonny_Woolf,23,12,24,3,76,28.4348,14.7,1.3,2.57,2.43,5.39,2.61,10.78,2.04,2.78,3.43,6.3,1.13,5.17,0.96,81.86,0.59963225,0.979272097,0.732420171,0.365105155,1.011161566,0.3691803,0.002563682,30.85343314
DominicanIL,Nick_LaVere,24,12,24,3,78,18.1667,4.92,0.29,0.88,0.63,1.96,0.71,4.79,0.46,1.08,1.33,1.71,0.67,1.04,0.08,81.86,0.59963225,0.979272097,0.732420171,0.124595091,1.011161566,0.125985768,0.00055895,10.52898396
DominicanIL,Rory_Cunningham,12,12,24,3,79,7.25,1.83,0.17,0.25,0.42,0.75,0.17,2.08,0.25,1,0.33,2.33,0.42,1.92,0.5,81.86,0.59963225,0.979272097,0.732420171,0.12575016,1.011161566,0.127153728,0.000225135,10.6265937
DominicanIL,Sean_Ek,17,12,24,3,80,13.1176,2.41,0.47,1.35,1.12,0.76,0.41,1.94,0.35,1.06,0.47,0.88,0.18,0.71,0,81.86,0.59963225,0.979272097,0.732420171,0.061652697,1.011161566,0.062340838,0.000199711,5.209998662
DominicanIL,Tim_Robertson,24,12,24,3,81,25.625,14.79,0.42,1.71,1.96,5.63,3.13,13.63,0.29,1.54,4.25,4.58,0.96,3.63,0.75,81.86,0.59963225,0.979272097,0.732420171,0.260797466,1.011161566,0.263708374,0.001650302,22.03884847
EastWest,Ahmad_Eshftari,5,7,16,1,83,2.4,1.2,0,0.4,0.2,0.4,0.4,1.4,0.4,1.6,1.2,2,1,1,0,93.11764706,0.59963225,0.979272097,0.732420171,0.069667396,0.888915135,0.061928403,3.63E-05,5.175530303
EastWest,Amare_Thurman,12,7,16,1,84,8.3333,3.42,0.42,1.08,1.25,1.25,0.5,3.67,0.75,1.17,1,1.92,0.83,1.08,0,93.11764706,0.59963225,0.979272097,0.732420171,0.14461829,0.888915135,0.128553387,0.000261623,10.74356712
EastWest,Brian_Ashberry,13,7,16,1,86,12.1538,5,0.08,0.15,1.15,1.92,1.08,4.92,0.77,1.85,2.38,3.85,1.46,2.38,0.31,93.11764706,0.59963225,0.979272097,0.732420171,0.148792578,0.888915135,0.132263975,0.000392581,11.05367131
EastWest,Carl_Moore,15,7,16,1,87,25.6667,12.47,1.73,2.13,3.07,4.47,1.8,12.6,1.2,2,2.27,5.67,1.2,4.47,0.6,93.11764706,0.59963225,0.979272097,0.732420171,0.210336953,0.888915135,0.186971701,0.001171983,15.62574945
EastWest,Cortland_Gillespie,15,7,16,1,88,11,7.07,0.73,0.87,2.4,2.33,1.67,6.13,0.47,1.4,3,1.73,0.53,1.2,0,93.11764706,0.59963225,0.979272097,0.732420171,0.102169627,0.888915135,0.090820128,0.000243978,7.590092792
EastWest,Eric_Spencer,12,7,16,1,90,6.0833,4,0.08,0.58,0.83,1.42,1.08,4.5,0.42,2,2.17,2.08,0.75,1.33,0.33,93.11764706,0.59963225,0.979272097,0.732420171,0.055633754,0.888915135,0.049453686,7.35E-05,4.132983238
EastWest,Jeremy_Hargrove,13,7,16,1,91,9.8462,3.46,0.62,0.85,1.62,1,0.85,3.08,0.31,1.54,1.23,1.38,0.23,1.15,0.08,93.11764706,0.59963225,0.979272097,0.732420171,-0.003206308,0.888915135,-0.002850136,-6.85E-06,-0.238193821
EastWest,Markus_Johnson,15,7,16,1,94,20,9.47,0.07,0.6,1.4,3.53,2.33,7.13,0.8,3.2,4.27,6.73,3.2,3.53,0.87,93.11764706,0.59963225,0.979272097,0.732420171,0.299645713,0.888915135,0.26635961,0.00130099,22.26041966
EastWest,Patrick_Rucker,16,7,16,1,95,21.375,12.06,1.44,2.81,2.44,4,2.63,9.38,1.44,3.06,3.38,4.5,0.69,3.81,0.13,93.11764706,0.59963225,0.979272097,0.732420171,0.303882121,0.888915135,0.270125416,0.001410091,22.57513866
EastWest,Roland_Watkins,12,7,16,1,96,4.9167,1.25,0,0.25,0.33,0.42,0.42,1.25,0.17,1.33,0.58,0.92,0.25,0.67,0.17,93.11764706,0.59963225,0.979272097,0.732420171,-0.038947152,0.888915135,-0.034620713,-4.16E-05,-2.893350071
EastWest,Scherone_Clarke,9,7,16,1,97,1.7778,0.44,0,0.11,0.33,0.22,0,0.89,0,2.22,0.22,1.11,0.33,0.78,0.22,93.11764706,0.59963225,0.979272097,0.732420171,-0.86453672,0.888915135,-0.768499776,-0.000333658,-64.22568167
EastWest,Sherman_Brown,11,7,16,1,98,6.0909,2.45,0,0.36,0.73,1,0.45,2.55,0.36,2.82,0.73,1.73,0.73,1,0.18,93.11764706,0.59963225,0.979272097,0.732420171,-0.075701223,0.888915135,-0.067291963,-0.000100097,-5.623778065
EastWest,Sherman_Carter,14,7,16,1,99,22.7143,15.93,1.79,2.29,3.71,5.21,3.71,15.07,1.14,3.14,5,3.07,1.29,1.79,0.14,93.11764706,0.59963225,0.979272097,0.732420171,0.191335751,0.888915135,0.170081245,0.000943477,14.2141667
Fontbonne,Anthony_Loper,6,16,27,10,101,10.8333,2.17,0,0.67,0.83,0.83,0.5,2.67,0.5,2.17,1,2.17,0.83,1.33,0,101.3,0.59963225,0.979272097,0.732420171,-0.026277872,0.817114371,-0.021472027,-5.68E-05,-1.794477536
Fontbonne,Brian_Wacha,5,16,27,10,102,2,0.6,0.2,0,0.2,0.2,0,0.2,0,0.4,0,0.2,0.2,0,0,101.3,0.59963225,0.979272097,0.732420171,0.075281081,0.817114371,0.061513253,3.00E-05,5.140835094
Fontbonne,Erich_Schark,16,16,27,10,103,21,7.81,0.19,2.13,1.81,3.25,1.13,5.56,0.44,2.38,1.94,4.75,1.44,3.31,0.88,101.3,0.59963225,0.979272097,0.732420171,0.250972555,0.817114371,0.205073281,0.001051729,17.13854927
Fontbonne,Garrett_Goodnight,7,16,27,10,104,9.1429,0.14,0,0.86,0.57,0,0.14,0.86,0.86,1.29,0.29,0.57,0,0.57,0,101.3,0.59963225,0.979272097,0.732420171,-0.056589854,0.817114371,-0.046240383,-0.000103248,-3.864438477
Fontbonne,Jack_Lake,5,16,27,10,105,14.6,4.8,0.4,0.4,1.6,2,0.4,5.8,0,2.2,0.4,2.2,0.8,1.4,0.4,101.3,0.59963225,0.979272097,0.732420171,-0.028565739,0.817114371,-0.023341476,-8.32E-05,-1.950712602
Fontbonne,Jahmad_Wilburn,11,16,27,10,107,10.3636,2.73,0.09,0.55,1,1.09,0.45,2.36,0.27,1.64,0.91,2.82,0.73,2.09,0.09,101.3,0.59963225,0.979272097,0.732420171,0.068603629,0.817114371,0.056057012,0.000141878,4.684841677
Fontbonne,James_Wiggins,16,16,27,10,108,23.9375,6.81,0.13,2.19,2.44,2.38,1.94,5.19,0.69,3.06,2.56,3.25,1.19,2.06,0.13,101.3,0.59963225,0.979272097,0.732420171,0.092165995,0.817114371,0.075310159,0.000440259,6.293881246
Fontbonne,Jared_Woodcock,16,16,27,10,109,23.25,9.94,0.94,0.94,1.75,3.25,2.5,7.5,0.44,1.69,3.19,3.75,1.31,2.44,0.25,101.3,0.59963225,0.979272097,0.732420171,0.198443287,0.817114371,0.162150861,0.000920699,13.55140227
Fontbonne,Kris_Mccann,16,16,27,10,111,31,18,1.19,4.75,3.13,6.69,3.44,15,0.88,1.69,4.88,3.69,1.25,2.44,0,101.3,0.59963225,0.979272097,0.732420171,0.303011027,0.817114371,0.247594665,0.00187447,20.69218055
Fontbonne,Logan_KelleyWolff,8,16,27,10,112,6.625,1.25,0,0.75,0.5,0.63,0,1.63,0.25,1.25,0.13,1.38,0.38,1,0.13,101.3,0.59963225,0.979272097,0.732420171,0.03495029,0.817114371,0.028558384,4.62E-05,2.386704257
