Game_ID,Session_ID,LineUp_ID,Game_Status_ID,Player_Name,Pts,OffReb,DefReb,TtlReb,FGA,FGM,FGm,Two_FGA,Two_FGM,Two_FGm,Three_FGA,Three_FGM,Three_FGm,Ast,Stl,FTA,FTM,FTm
1,1,1,1,Jake Digiorgio,4,1,3,4,4,2,2,4,2,2,0,0,0,1,0,0,0,0
1,1,1,1,Max Hisatake,4,2,2,4,3,2,1,3,2,1,0,0,0,1,0,0,0,0
1,1,1,1,Anthony Mosley,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,Malik Howze,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0
1,1,1,1,Parker Joncus,3,1,1,2,2,1,1,1,1,0,1,0,1,0,0,2,1,1
1,1,2,1,Jake Bruns,3,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
1,1,2,1,Jake Digiorgio,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,1,Max Hisatake,2,0,0,0,3,1,2,3,1,2,0,0,0,1,0,0,0,0
1,1,2,1,Anthony Mosley,2,0,1,1,2,1,1,1,1,0,1,0,1,1,0,0,0,0
1,1,2,1,Malik Howze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,1,Kohl Linder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,1,Parker Joncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,3,1,Jake Bruns,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,1,Jake Digiorgio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,1,Malik Howze,3,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
1,1,4,1,Anthony Mosley,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
1,1,4,1,Kohl Linder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,1,Parker Joncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,1,Jake Bruns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,1,Jake Digiorgio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,5,1,Calvin Schmitz,2,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
1,1,5,1,Capriest Gardner,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,5,1,Anthony Mosley,2,0,1,1,3,1,2,3,1,2,0,0,0,0,0,0,0,0
1,1,5,1,Kohl Linder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,5,1,Jake Bruns,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
1,1,6,1,Jake Digiorgio,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
1,1,6,1,Malik Howze,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,6,1,Calvin Schmitz,0,1,1,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0
1,1,6,1,Capriest Gardner,2,0,0,0,2,1,1,2,1,1,0,0,0,0,0,0,0,0
1,1,6,1,Anthony Mosley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,7,1,Capriest Gardner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,7,1,Jake Bruns,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0
1,1,7,1,Jake Digiorgio,4,0,1,1,3,2,1,3,2,1,0,0,0,0,0,0,0,0
1,1,7,1,Anthony Mosley,2,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
1,1,7,1,Malik Howze,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0
1,2,1,1,Jake Digiorgio,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,Max Hisatake,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,2,0
1,2,1,1,Anthony Mosley,3,0,0,0,4,1,3,3,1,2,1,0,1,0,0,1,1,0
1,2,1,1,Malik Howze,3,0,1,1,2,1,1,0,0,0,2,1,1,0,0,0,0,0
1,2,1,1,Parker Joncus,4,0,0,0,2,2,0,2,2,0,0,0,0,0,1,0,0,0
1,2,2,1,Jake Bruns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,1,Jake Digiorgio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,1,Max Hisatake,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2
1,2,2,1,Anthony Mosley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2,2,1,Malik Howze,3,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
1,2,3,1,Capriest Gardner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,1,Jake Bruns,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
1,2,3,1,Jake Digiorgio,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,2,1,1
1,2,3,1,Anthony Mosley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,1,Malik Howze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,4,1,Calvin Schmitz,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,4,1,Capriest Gardner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,4,1,Jake Bruns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,4,1,Jake Digiorgio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,4,1,Anthony Mosley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,1,Max Hisatake,2,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0
1,2,5,1,Calvin Schmitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,1,Capriest Gardner,2,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
1,2,5,1,Jake Bruns,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,5,1,Anthony Mosley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2,6,1,Malik Howze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,6,1,Max Hisatake,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
1,2,6,1,Capriest Gardner,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1
1,2,6,1,Jake Bruns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,6,1,Anthony Mosley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7,1,Parker Joncus,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
1,2,7,1,Malik Howze,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
1,2,7,1,Max Hisatake,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1
1,2,7,1,Jake Bruns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7,1,Anthony Mosley,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0
1,2,8,1,Jake Bruns,5,0,0,0,2,2,0,1,1,0,1,1,0,0,0,0,0,0
1,2,8,1,Calvin Schmitz,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1,2,8,1,Capriest Gardner,4,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0
1,2,8,1,Jake Digiorgio,4,1,1,2,3,2,1,3,2,1,0,0,0,0,0,0,0,0
1,2,8,1,Malik Howze,0,0,1,1,1,0,1,0,0,0,1,0,1,3,1,0,0,0
1,2,9,1,Jason Morris,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
1,2,9,1,Brinden Carlson,0,0,0,0,2,0,2,0,0,0,2,0,2,1,0,0,0,0
1,2,9,1,Kohl Linder,2,1,0,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0
1,2,9,1,Jake Bruns,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,9,1,Capriest Gardner,2,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
3,1,1,1,Jake Digiorgio,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
3,1,1,1,Max Hisatake,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1
3,1,1,1,Jake Bruns,0,0,2,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0
3,1,1,1,Calvin Schmitz,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,1,1,1,Parker Joncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2,1,Capriest Gardner,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2,1,Jake Digiorgio,2,0,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0
3,1,2,1,Jake Bruns,3,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
3,1,2,1,Calvin Schmitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2,1,Parker Joncus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,1,3,1,Malik Howze,2,0,1,1,2,1,1,2,1,1,0,0,0,2,0,0,0,0
3,1,3,1,Capriest Gardner,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,3,1,Jake Digiorgio,4,1,1,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0
3,1,3,1,Jake Bruns,3,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
3,1,3,1,Parker Joncus,2,0,0,0,2,1,1,1,1,0,1,0,1,0,0,0,0,0
3,1,4,1,Kohl Linder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,4,1,Brett Ott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,4,1,Malik Howze,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
3,1,4,1,Capriest Gardner,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
3,1,4,1,Parker Joncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,5,1,Jake Digiorgio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,5,1,Calvin Schmitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,5,1,Brett Ott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,5,1,Malik Howze,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
3,1,5,1,Parker Joncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,6,1,Jake Bruns,3,0,0,0,2,1,1,0,0,0,2,1,1,0,0,0,0,0
3,1,6,1,Jake Digiorgio,0,1,1,2,3,0,3,3,0,3,0,0,0,0,0,0,0,0
3,1,6,1,Calvin Schmitz,3,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
3,1,6,1,Malik Howze,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0
3,1,6,1,Parker Joncus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,1,7,1,Capriest Gardner,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,7,1,Jake Bruns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,7,1,Jake Digiorgio,4,1,1,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0
3,1,7,1,Calvin Schmitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,7,1,Malik Howze,5,0,1,1,3,2,1,3,2,1,0,0,0,1,0,1,1,0
3,2,1,1,Malik Howze,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,2,1,1
3,2,1,1,Jake Digiorgio,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
3,2,1,1,Max Hisatake,8,1,2,3,4,4,0,4,4,0,0,0,0,0,0,0,0,0
3,2,1,1,Jake Bruns,5,0,0,0,4,2,2,2,1,1,2,1,1,1,0,0,0,0
3,2,1,1,Parker Joncus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,2,2,1,Calvin Schmitz,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
3,2,2,1,Capriest Gardner,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0
3,2,2,1,Malik Howze,0,1,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0
3,2,2,1,Max Hisatake,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1
3,2,2,1,Parker Joncus,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
3,2,3,1,Jake Digiorgio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,3,1,Jake Bruns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,3,1,Calvin Schmitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,3,1,Capriest Gardner,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
3,2,3,1,Parker Joncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,4,1,Kohl Linder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,4,1,Jake Digiorgio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,4,1,Jake Bruns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,2,4,1,Calvin Schmitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,4,1,Parker Joncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,5,1,Malik Howze,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,5,1,Kohl Linder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,5,1,Jake Digiorgio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,5,1,Calvin Schmitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,5,1,Parker Joncus,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0
3,2,6,1,Max Hisatake,5,0,4,4,4,2,2,4,2,2,0,0,0,0,2,2,1,1
3,2,6,1,Malik Howze,4,0,0,0,1,1,0,1,1,0,0,0,0,2,0,2,2,0
3,2,6,1,Jake Digiorgio,6,1,1,2,5,3,2,4,3,1,1,0,1,0,0,0,0,0
3,2,6,1,Calvin Schmitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,6,1,Parker Joncus,0,0,1,1,2,0,2,1,0,1,1,0,1,1,0,0,0,0
3,2,7,1,Brett Ott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,7,1,Jake Bruns,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
3,2,7,1,Malik Howze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,7,1,Calvin Schmitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,7,1,Parker Joncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,1,Jake Digiorgio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,1,1,1,Max Hisatake,0,0,2,2,2,0,2,2,0,2,0,0,0,0,1,0,0,0
4,1,1,1,Jake Bruns,0,0,1,1,2,0,2,0,0,0,2,0,2,2,0,0,0,0
4,1,1,1,Calvin Schmitz,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0
4,1,1,1,Parker Joncus,9,1,1,2,4,3,1,0,0,0,4,3,1,0,0,0,0,0
4,1,2,1,Kohl Linder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,1,2,1,Capriest Gardner,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,2,1,Jake Bruns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,2,1,Calvin Schmitz,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
4,1,2,1,Parker Joncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,3,1,Brinden Carlson,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
4,1,3,1,Kohl Linder,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,3,1,Capriest Gardner,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0
4,1,3,1,Jake Bruns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,3,1,Parker Joncus,3,0,0,0,2,1,1,0,0,0,2,1,1,0,0,0,0,0
4,1,4,1,Jake Digiorgio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,4,1,Max Hisatake,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
4,1,4,1,Brinden Carlson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,4,1,Capriest Gardner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,4,1,Jake Bruns,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,1,5,1,Parker Joncus,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0
4,1,5,1,Jake Digiorgio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,5,1,Max Hisatake,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
4,1,5,1,Capriest Gardner,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
4,1,5,1,Jake Bruns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,6,1,Kohl Linder,4,2,0,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0
4,1,6,1,Jake Digiorgio,2,0,0,0,2,1,1,2,1,1,0,0,0,0,1,0,0,0
4,1,6,1,Jake Bruns,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0
4,1,6,1,Calvin Schmitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,6,1,Parker Joncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,7,1,Brett Ott,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0
4,1,7,1,Kohl Linder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,7,1,Jake Digiorgio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,7,1,Calvin Schmitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,7,1,Parker Joncus,3,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
4,1,8,1,Capriest Gardner,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,8,1,Jake Bruns,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,1,8,1,Brett Ott,3,0,0,0,2,1,1,1,0,1,1,1,0,0,0,0,0,0
4,1,8,1,Jake Digiorgio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,8,1,Parker Joncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,1,9,1,Calvin Schmitz,2,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
4,1,9,1,Capriest Gardner,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0
4,1,9,1,Jake Bruns,2,1,0,1,3,1,2,3,1,2,0,0,0,0,0,0,0,0
4,1,9,1,Jake Digiorgio,0,3,3,6,3,0,3,3,0,3,0,0,0,1,0,0,0,0
4,1,9,1,Parker Joncus,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
4,2,1,1,Jake Digiorgio,2,1,3,4,2,1,1,2,1,1,0,0,0,1,1,0,0,0
4,2,1,1,Max Hisatake,8,2,1,3,5,3,2,5,3,2,0,0,0,1,0,2,2,0
4,2,1,1,Jake Bruns,3,0,1,1,4,1,3,1,0,1,3,1,2,0,0,0,0,0
4,2,1,1,Calvin Schmitz,5,1,0,1,5,2,3,3,1,2,2,1,1,1,2,0,0,0
4,2,1,1,Parker Joncus,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0
4,2,2,1,Jason Morris,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,2,2,1,Jake Digiorgio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,2,1,Max Hisatake,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
4,2,2,1,Calvin Schmitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,2,1,Parker Joncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,3,1,Kohl Linder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,3,1,Jason Morris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,3,1,Max Hisatake,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
4,2,3,1,Calvin Schmitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,3,1,Parker Joncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
