,team_name,number_of_games,team_poss,opp_poss,off_adjustment_factor,def_adjustment_factor,Unnamed: 6,Unnamed: 7,Type,Format,element_name,percentage_of_time,ppp,average_ppp,field_goal_percentage
0,Albion,23.0,90.30434783,86.52173913,1.0961407490000001,1.040381498,,,Strength,Defensive,Transition,0.142,0.929,0.971,0.45899999999999996
1,Albion,23.0,90.30434783,86.52173913,1.0961407490000001,1.040381498,,,Strength,Defensive,P&R Ball Handler,0.10099999999999999,0.871,0.971,0.47200000000000003
2,Albion,23.0,90.30434783,86.52173913,1.0961407490000001,1.040381498,,,Strength,Defensive,Isolation,0.048,0.905,0.971,0.5329999999999999
3,Albion,23.0,90.30434783,86.52173913,1.0961407490000001,1.040381498,,,Strength,Defensive,P&R Roll Man,0.045,0.82,0.971,0.423
4,Albion,23.0,90.30434783,86.52173913,1.0961407490000001,1.040381498,,,Strength,Defensive,Miscellaneous,0.067,0.664,0.971,0.375
5,Albion,23.0,90.30434783,86.52173913,1.0961407490000001,1.040381498,,,Weakness,Defensive,Off Screen,0.078,1.071,0.971,0.49200000000000005
6,Albion,23.0,90.30434783,86.52173913,1.0961407490000001,1.040381498,,,Weakness,Defensive,Spot Up,0.284,0.986,0.971,0.402
7,Albion,23.0,90.30434783,86.52173913,1.0961407490000001,1.040381498,,,Weakness,Defensive,Hand Off,0.037000000000000005,1.11,0.971,0.46
8,Albion,23.0,90.30434783,86.52173913,1.0961407490000001,1.040381498,,,Weakness,Defensive,Offensive Rebounds (put backs),0.045,1.247,0.971,0.619
9,Albion,23.0,90.30434783,86.52173913,1.0961407490000001,1.040381498,,,Weakness,Defensive,Cut,0.071,1.121,0.971,0.574
10,Albion,23.0,90.30434783,86.52173913,1.0961407490000001,1.040381498,,,Weakness,Defensive,Post-Up,0.08199999999999999,1.055,0.971,0.5479999999999999
11,Carthage,25.0,80.44,80.44,0.9764043920000001,0.967251566,,,Strength,Defensive,Post-Up,0.094,0.742,0.8909999999999999,0.396
12,Carthage,25.0,80.44,80.44,0.9764043920000001,0.967251566,,,Strength,Defensive,Miscellaneous,0.08800000000000001,0.591,0.8909999999999999,0.391
13,Carthage,25.0,80.44,80.44,0.9764043920000001,0.967251566,,,Strength,Defensive,Hand Off,0.028999999999999998,0.741,0.8909999999999999,0.326
14,Carthage,25.0,80.44,80.44,0.9764043920000001,0.967251566,,,Strength,Defensive,Isolation,0.044000000000000004,0.693,0.8909999999999999,0.358
15,Carthage,25.0,80.44,80.44,0.9764043920000001,0.967251566,,,Strength,Defensive,P&R Ball Handler,0.125,0.809,0.8909999999999999,0.406
16,Carthage,25.0,80.44,80.44,0.9764043920000001,0.967251566,,,Weakness,Defensive,Transition,0.17800000000000002,1.034,0.8909999999999999,0.498
17,Carthage,25.0,80.44,80.44,0.9764043920000001,0.967251566,,,Weakness,Defensive,Cut,0.087,1.115,0.8909999999999999,0.584
18,Carthage,25.0,80.44,80.44,0.9764043920000001,0.967251566,,,Weakness,Defensive,Offensive Rebounds (put backs),0.054000000000000006,1.0090000000000001,0.8909999999999999,0.5
19,Carthage,25.0,80.44,80.44,0.9764043920000001,0.967251566,,,Weakness,Defensive,P&R Roll Man,0.03,0.902,0.8909999999999999,0.423
20,Carthage,25.0,80.44,80.44,0.9764043920000001,0.967251566,,,Weakness,Defensive,Off Screen,0.063,1.063,0.8909999999999999,0.41
21,Carthage,25.0,80.44,80.44,0.9764043920000001,0.967251566,,,Weakness,Defensive,Spot Up,0.209,0.898,0.8909999999999999,0.366
22,Chicago,25.0,82.4,80.84,1.000195449,0.97206137,,,Strength,Defensive,Post-Up,0.087,0.7609999999999999,0.8809999999999999,0.452
23,Chicago,25.0,82.4,80.84,1.000195449,0.97206137,,,Strength,Defensive,Miscellaneous,0.064,0.589,0.8809999999999999,0.455
24,Chicago,25.0,82.4,80.84,1.000195449,0.97206137,,,Strength,Defensive,Isolation,0.04,0.8370000000000001,0.8809999999999999,0.435
25,Chicago,25.0,82.4,80.84,1.000195449,0.97206137,,,Strength,Defensive,Hand Off,0.049,0.8690000000000001,0.8809999999999999,0.386
26,Chicago,25.0,82.4,80.84,1.000195449,0.97206137,,,Strength,Defensive,Off Screen,0.083,0.76,0.8809999999999999,0.33799999999999997
27,Chicago,25.0,82.4,80.84,1.000195449,0.97206137,,,Strength,Defensive,P&R Ball Handler,0.139,0.737,0.8809999999999999,0.34299999999999997
28,Chicago,25.0,82.4,80.84,1.000195449,0.97206137,,,Weakness,Defensive,Spot Up,0.23600000000000002,0.905,0.8809999999999999,0.363
29,Chicago,25.0,82.4,80.84,1.000195449,0.97206137,,,Weakness,Defensive,Offensive Rebounds (put backs),0.063,1.1420000000000001,0.8809999999999999,0.622
30,Chicago,25.0,82.4,80.84,1.000195449,0.97206137,,,Weakness,Defensive,Cut,0.061,1.097,0.8809999999999999,0.578
31,Chicago,25.0,82.4,80.84,1.000195449,0.97206137,,,Weakness,Defensive,P&R Roll Man,0.038,1.13,0.8809999999999999,0.514
32,Chicago,25.0,82.4,80.84,1.000195449,0.97206137,,,Weakness,Defensive,Transition,0.141,0.996,0.8809999999999999,0.465
33,CornellCollege,14.0,80.71428571,81.42857143,0.979733753,0.979138653,,,Strength,Defensive,Isolation,0.038,0.767,0.89,0.289
34,CornellCollege,14.0,80.71428571,81.42857143,0.979733753,0.979138653,,,Strength,Defensive,Miscellaneous,0.046,0.596,0.89,0.556
35,CornellCollege,14.0,80.71428571,81.42857143,0.979733753,0.979138653,,,Strength,Defensive,Transition,0.19399999999999998,0.8420000000000001,0.89,0.473
36,CornellCollege,14.0,80.71428571,81.42857143,0.979733753,0.979138653,,,Strength,Defensive,P&R Ball Handler,0.146,0.778,0.89,0.39
37,CornellCollege,14.0,80.71428571,81.42857143,0.979733753,0.979138653,,,Strength,Defensive,Off Screen,0.055,0.873,0.89,0.345
38,CornellCollege,14.0,80.71428571,81.42857143,0.979733753,0.979138653,,,Strength,Defensive,P&R Roll Man,0.047,0.7040000000000001,0.89,0.35700000000000004
39,CornellCollege,14.0,80.71428571,81.42857143,0.979733753,0.979138653,,,Weakness,Defensive,Spot Up,0.223,0.925,0.89,0.36700000000000005
40,CornellCollege,14.0,80.71428571,81.42857143,0.979733753,0.979138653,,,Weakness,Defensive,Hand Off,0.039,0.978,0.89,0.42100000000000004
41,CornellCollege,14.0,80.71428571,81.42857143,0.979733753,0.979138653,,,Weakness,Defensive,Offensive Rebounds (put backs),0.047,1.278,0.89,0.659
42,CornellCollege,14.0,80.71428571,81.42857143,0.979733753,0.979138653,,,Weakness,Defensive,Cut,0.065,1.189,0.89,0.603
43,CornellCollege,14.0,80.71428571,81.42857143,0.979733753,0.979138653,,,Weakness,Defensive,Post-Up,0.099,0.938,0.89,0.524
44,DominicanIL,25.0,80.68,83.04,0.9793175829999999,0.998515292,,,Strength,Defensive,Miscellaneous,0.075,0.48700000000000004,0.9059999999999999,0.542
45,DominicanIL,25.0,80.68,83.04,0.9793175829999999,0.998515292,,,Strength,Defensive,Isolation,0.044000000000000004,0.826,0.9059999999999999,0.44799999999999995
46,DominicanIL,25.0,80.68,83.04,0.9793175829999999,0.998515292,,,Strength,Defensive,Hand Off,0.032,0.7879999999999999,0.9059999999999999,0.373
47,DominicanIL,25.0,80.68,83.04,0.9793175829999999,0.998515292,,,Strength,Defensive,Spot Up,0.203,0.882,0.9059999999999999,0.368
48,DominicanIL,25.0,80.68,83.04,0.9793175829999999,0.998515292,,,Strength,Defensive,P&R Ball Handler,0.11199999999999999,0.797,0.9059999999999999,0.425
49,DominicanIL,25.0,80.68,83.04,0.9793175829999999,0.998515292,,,Strength,Defensive,Post-Up,0.099,0.732,0.9059999999999999,0.42100000000000004
50,DominicanIL,25.0,80.68,83.04,0.9793175829999999,0.998515292,,,Weakness,Defensive,Offensive Rebounds (put backs),0.065,1.187,0.9059999999999999,0.62
51,DominicanIL,25.0,80.68,83.04,0.9793175829999999,0.998515292,,,Weakness,Defensive,Cut,0.111,1.229,0.9059999999999999,0.6559999999999999
52,DominicanIL,25.0,80.68,83.04,0.9793175829999999,0.998515292,,,Weakness,Defensive,Transition,0.175,0.956,0.9059999999999999,0.496
53,DominicanIL,25.0,80.68,83.04,0.9793175829999999,0.998515292,,,Weakness,Defensive,P&R Roll Man,0.028999999999999998,1.082,0.9059999999999999,0.46799999999999997
54,DominicanIL,25.0,80.68,83.04,0.9793175829999999,0.998515292,,,Weakness,Defensive,Off Screen,0.055,1.0,0.9059999999999999,0.451
55,EastWest,17.0,92.70588235,93.52941176,1.125291282,1.124645326,,,Strength,Defensive,Miscellaneous,0.094,0.667,1.023,0.5
56,EastWest,17.0,92.70588235,93.52941176,1.125291282,1.124645326,,,Strength,Defensive,Off Screen,0.027999999999999997,0.659,1.023,0.27
57,EastWest,17.0,92.70588235,93.52941176,1.125291282,1.124645326,,,Strength,Defensive,P&R Ball Handler,0.038,0.885,1.023,0.42200000000000004
58,EastWest,17.0,92.70588235,93.52941176,1.125291282,1.124645326,,,Strength,Defensive,Isolation,0.043,0.855,1.023,0.415
59,EastWest,17.0,92.70588235,93.52941176,1.125291282,1.124645326,,,Strength,Defensive,Post-Up,0.062,0.848,1.023,0.478
60,EastWest,17.0,92.70588235,93.52941176,1.125291282,1.124645326,,,Weakness,Defensive,Cut,0.10800000000000001,1.093,1.023,0.56
61,EastWest,17.0,92.70588235,93.52941176,1.125291282,1.124645326,,,Weakness,Defensive,Offensive Rebounds (put backs),0.087,1.173,1.023,0.62
62,EastWest,17.0,92.70588235,93.52941176,1.125291282,1.124645326,,,Weakness,Defensive,Hand Off,0.017,1.037,1.023,0.45
63,EastWest,17.0,92.70588235,93.52941176,1.125291282,1.124645326,,,Weakness,Defensive,Spot Up,0.233,1.143,1.023,0.43700000000000006
64,EastWest,17.0,92.70588235,93.52941176,1.125291282,1.124645326,,,Weakness,Defensive,P&R Roll Man,0.006999999999999999,1.182,1.023,0.5
65,EastWest,17.0,92.70588235,93.52941176,1.125291282,1.124645326,,,Weakness,Defensive,Transition,0.281,1.085,1.023,0.541
66,Fontbonne,15.0,99.93333333,102.66666670000001,1.213020209,1.234516337,,,Strength,Defensive,Miscellaneous,0.081,0.544,0.963,0.667
67,Fontbonne,15.0,99.93333333,102.66666670000001,1.213020209,1.234516337,,,Strength,Defensive,P&R Ball Handler,0.08900000000000001,0.7809999999999999,0.963,0.374
68,Fontbonne,15.0,99.93333333,102.66666670000001,1.213020209,1.234516337,,,Strength,Defensive,Post-Up,0.063,0.773,0.963,0.423
69,Fontbonne,15.0,99.93333333,102.66666670000001,1.213020209,1.234516337,,,Strength,Defensive,Isolation,0.036000000000000004,0.8390000000000001,0.963,0.436
70,Fontbonne,15.0,99.93333333,102.66666670000001,1.213020209,1.234516337,,,Strength,Defensive,Hand Off,0.021,0.909,0.963,0.35700000000000004
71,Fontbonne,15.0,99.93333333,102.66666670000001,1.213020209,1.234516337,,,Weakness,Defensive,Off Screen,0.044000000000000004,1.224,0.963,0.5
72,Fontbonne,15.0,99.93333333,102.66666670000001,1.213020209,1.234516337,,,Weakness,Defensive,P&R Roll Man,0.027000000000000003,1.357,0.963,0.629
73,Fontbonne,15.0,99.93333333,102.66666670000001,1.213020209,1.234516337,,,Weakness,Defensive,Offensive Rebounds (put backs),0.079,1.091,0.963,0.5760000000000001
74,Fontbonne,15.0,99.93333333,102.66666670000001,1.213020209,1.234516337,,,Weakness,Defensive,Cut,0.085,1.069,0.963,0.579
75,Fontbonne,15.0,99.93333333,102.66666670000001,1.213020209,1.234516337,,,Weakness,Defensive,Spot Up,0.233,0.983,0.963,0.374
76,Fontbonne,15.0,99.93333333,102.66666670000001,1.213020209,1.234516337,,,Weakness,Defensive,Transition,0.242,1.054,0.963,0.504
77,Knox,17.0,79.0,81.64705882,0.9589252490000001,0.9817658570000001,,,Strength,Defensive,P&R Ball Handler,0.08900000000000001,0.823,0.95,0.44
78,Knox,17.0,79.0,81.64705882,0.9589252490000001,0.9817658570000001,,,Strength,Defensive,Miscellaneous,0.081,0.429,0.95,0.353
79,Knox,17.0,79.0,81.64705882,0.9589252490000001,0.9817658570000001,,,Strength,Defensive,Off Screen,0.07200000000000001,0.59,0.95,0.22899999999999998
80,Knox,17.0,79.0,81.64705882,0.9589252490000001,0.9817658570000001,,,Weakness,Defensive,Cut,0.08199999999999999,1.158,0.95,0.613
81,Knox,17.0,79.0,81.64705882,0.9589252490000001,0.9817658570000001,,,Weakness,Defensive,Spot Up,0.263,0.9620000000000001,0.95,0.38299999999999995
82,Knox,17.0,79.0,81.64705882,0.9589252490000001,0.9817658570000001,,,Weakness,Defensive,Post-Up,0.077,0.963,0.95,0.594
83,Knox,17.0,79.0,81.64705882,0.9589252490000001,0.9817658570000001,,,Weakness,Defensive,Isolation,0.036000000000000004,1.1,0.95,0.568
84,Knox,17.0,79.0,81.64705882,0.9589252490000001,0.9817658570000001,,,Weakness,Defensive,P&R Roll Man,0.036000000000000004,1.04,0.95,0.475
85,Knox,17.0,79.0,81.64705882,0.9589252490000001,0.9817658570000001,,,Weakness,Defensive,Hand Off,0.028999999999999998,1.05,0.95,0.583
86,Knox,17.0,79.0,81.64705882,0.9589252490000001,0.9817658570000001,,,Weakness,Defensive,Offensive Rebounds (put backs),0.066,1.044,0.95,0.528
87,Knox,17.0,79.0,81.64705882,0.9589252490000001,0.9817658570000001,,,Weakness,Defensive,Transition,0.16899999999999998,1.1909999999999998,0.95,0.637
88,MoodyBible,5.0,82.8,91.4,1.005050767,1.099040193,,,Strength,Defensive,Miscellaneous,0.07200000000000001,0.242,0.9890000000000001,0.5
89,MoodyBible,5.0,82.8,91.4,1.005050767,1.099040193,,,Strength,Defensive,Spot Up,0.221,0.95,0.9890000000000001,0.375
90,MoodyBible,5.0,82.8,91.4,1.005050767,1.099040193,,,Strength,Defensive,P&R Ball Handler,0.063,0.552,0.9890000000000001,0.316
91,MoodyBible,5.0,82.8,91.4,1.005050767,1.099040193,,,Strength,Defensive,Isolation,0.037000000000000005,0.647,0.9890000000000001,0.33299999999999996
92,MoodyBible,5.0,82.8,91.4,1.005050767,1.099040193,,,Strength,Defensive,Hand Off,0.018000000000000002,0.75,0.9890000000000001,0.429
93,MoodyBible,5.0,82.8,91.4,1.005050767,1.099040193,,,Weakness,Defensive,Post-Up,0.057,1.1540000000000001,0.9890000000000001,0.619
94,MoodyBible,5.0,82.8,91.4,1.005050767,1.099040193,,,Weakness,Defensive,P&R Roll Man,0.015,1.286,0.9890000000000001,0.5710000000000001
95,MoodyBible,5.0,82.8,91.4,1.005050767,1.099040193,,,Weakness,Defensive,Transition,0.267,1.156,0.9890000000000001,0.594
96,MoodyBible,5.0,82.8,91.4,1.005050767,1.099040193,,,Weakness,Defensive,Offensive Rebounds (put backs),0.096,1.182,0.9890000000000001,0.595
97,MoodyBible,5.0,82.8,91.4,1.005050767,1.099040193,,,Weakness,Defensive,Cut,0.083,1.1840000000000002,0.9890000000000001,0.556
98,MoodyBible,5.0,82.8,91.4,1.005050767,1.099040193,,,Weakness,Defensive,Off Screen,0.07,1.188,0.9890000000000001,0.44799999999999995
99,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Strength,Defensive,Off Screen,0.071,0.878,0.884,0.385
100,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Strength,Defensive,Spot Up,0.228,0.882,0.884,0.359
101,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Strength,Defensive,P&R Ball Handler,0.11699999999999999,0.848,0.884,0.419
102,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Strength,Defensive,Post-Up,0.085,0.847,0.884,0.449
103,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Strength,Defensive,Isolation,0.075,0.846,0.884,0.457
104,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Strength,Defensive,Miscellaneous,0.063,0.504,0.884,0.308
105,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Strength,Defensive,Hand Off,0.033,0.809,0.884,0.39299999999999996
106,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Weakness,Defensive,P&R Roll Man,0.046,0.9690000000000001,0.884,0.494
107,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Weakness,Defensive,Transition,0.162,0.958,0.884,0.49200000000000005
108,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Weakness,Defensive,Cut,0.068,1.077,0.884,0.5770000000000001
109,MSOE,26.0,80.34615385,79.96153846,0.97526526,0.9614983009999999,,,Weakness,Defensive,Offensive Rebounds (put backs),0.051,1.038,0.884,0.527
