#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
287,Oberlin College Yeomen,26,6.4%,5.1,4.3,0.856,2.2,1.5,3.7,41.1%,43.7%,14.4%,18.9%,15.2%,41.7%
288,Medaille Mavericks,30,7.9%,7,6,0.856,3,2.1,5.2,41.3%,45.2%,14.4%,13.4%,7.2%,40.7%
289,McMurry,28,5.1%,4.5,3.8,0.856,2,1.2,3.3,37.4%,40.1%,10.4%,20.8%,17.6%,43.2%
290,Pitt Greensburg Bobcats,23,4%,3.3,2.9,0.857,1.3,0.9,2.1,40.8%,46.9%,20.8%,18.2%,11.7%,40.3%
291,Ozarks (AR) Eagles,27,4.8%,4.1,3.6,0.857,1.8,1.1,2.9,38%,39.9%,11.6%,20.5%,14.3%,44.6%
292,Geneva Golden Tornadoes,27,3.5%,2.9,2.4,0.857,1,0.9,1.9,47.1%,50%,19.5%,15.6%,13%,44.2%
293,Concordia (TX) Tornadoes,27,5.7%,5.4,4.7,0.857,2.2,1.3,3.5,37.9%,40.5%,16.3%,21.8%,17.7%,42.2%
294,Virginia Wesleyan Marlins,25,7.5%,6.2,5.3,0.858,2.7,1.8,4.5,40.7%,45.1%,15.5%,16.1%,13.5%,40.6%
295,Nichols,29,7%,6.1,5.2,0.859,2.3,2,4.3,46%,50%,18.6%,13.6%,10.7%,41.2%
296,Iowa Wesleyan Tigers,19,5.3%,4.9,4.2,0.86,2.2,1.5,3.6,40.6%,44.9%,14%,15.1%,11.8%,41.9%
297,Wooster Fighting Scots,28,5.2%,4.1,3.5,0.861,1.9,1.4,3.2,42.2%,45.6%,13.9%,11.3%,8.7%,40%
298,Elmhurst College Blue Jays,25,5.5%,4.3,3.7,0.861,1.8,1.3,3.1,41%,42.3%,11.1%,20.4%,14.8%,43.5%
299,Coe College Kohawks,26,7.1%,5.5,4.8,0.861,2.6,1.9,4.5,41.9%,46.2%,12.5%,7.6%,5.6%,40.3%
300,Emory University Eagles,29,7.2%,6,5.2,0.863,2.5,1.9,4.4,43%,44.5%,15.4%,15.4%,11.4%,41.7%
301,Curry,24,3.7%,3.3,2.9,0.863,1.4,1,2.4,41.4%,44%,13.8%,15%,10%,42.5%
302,St. Lawrence Saints,25,1%,0.9,0.8,0.864,0.4,0.4,0.8,45%,47.5%,9.1%,0%,0%,40.9%
303,Manhattanville College Valiant,25,6.7%,5.6,4.8,0.864,2.1,1.9,4,47.5%,50%,20%,10.7%,9.3%,40.7%
304,Marymount (VA) Saints,25,5.3%,4.2,3.6,0.865,1.6,1.2,2.8,44.3%,46.4%,16.3%,15.4%,14.4%,42.3%
305,Wisconsin-(Eau Claire) Blugold,25,5.3%,3.9,3.4,0.866,1.8,1.2,2.9,39.7%,42.5%,12.4%,14.4%,12.4%,42.3%
306,St. Joseph's (Brooklyn) Bears,8,4.2%,3.8,3.3,0.867,1.1,0.9,2,43.8%,50%,20%,26.7%,20%,50%
307,North Park Vikings,26,3.4%,2.7,2.3,0.87,1,0.9,1.8,47.9%,50%,17.4%,15.9%,10.1%,42%
308,Crown College (MN),27,5.1%,4.3,3.7,0.87,1.9,1.6,3.4,45.7%,47.8%,13%,11.3%,11.3%,41.7%
309,DePauw University Tigers,26,5.1%,3.9,3.4,0.871,1.7,1.3,3,44.3%,47.5%,14.9%,11.9%,10.9%,40.6%
310,Texas Lutheran Bulldogs,27,6.1%,4.9,4.3,0.872,2.3,1.6,3.9,41.3%,44.2%,12%,12%,9.8%,40.6%
311,Salve Regina Seahawks,26,5.1%,4.2,3.7,0.872,1.7,1.2,2.9,41.3%,45.3%,15.6%,16.5%,13.8%,42.2%
312,Widener,27,5.6%,4.7,4.1,0.873,1.9,1.5,3.4,44.6%,48.4%,15.9%,16.7%,12.7%,38.9%
313,St. Mary's (MD) Seahawks,26,5.1%,4.2,3.7,0.873,1.6,1.4,3,46.8%,47.5%,16.4%,13.6%,9.1%,44.5%
314,Rutgers-Newark Scarlet Raiders,22,6.1%,5,4.4,0.873,2.2,1.3,3.5,36.8%,40.1%,14.5%,24.5%,21.8%,40%
315,William Peace,27,3.4%,3,2.6,0.875,1.4,1,2.4,42.2%,49.2%,12.5%,8.8%,5%,38.8%
316,Defiance Yellow Jackets,26,5.3%,4.3,3.8,0.876,1.9,1.5,3.4,44.9%,47.2%,14.2%,11.5%,9.7%,40.7%
317,Sewanee Tigers,25,5.9%,4.9,4.3,0.877,2,1.8,3.8,47.4%,48.9%,13.1%,10.7%,9%,45.1%
318,Texas-(Tyler) Patriots,28,5.6%,5.1,4.5,0.88,2.1,1.6,3.8,43.4%,47.2%,13.4%,13.4%,11.3%,43%
319,Susquehanna University Crusaders,24,3.9%,3.1,2.8,0.88,1.1,1,2.1,48%,50%,18.7%,18.7%,13.3%,44%
320,Lynchburg Hornets,28,5.3%,4.8,4.2,0.88,1.9,1.4,3.3,42.9%,47.3%,17.3%,16.5%,14.3%,42.1%
321,Wisconsin-(Stout) Blue Devils,25,3.6%,2.7,2.4,0.881,1.1,0.8,1.9,41.7%,46.9%,16.4%,11.9%,9%,41.8%
322,Illinois College Blue Boys,22,4.2%,3.5,3,0.882,1.4,1.1,2.5,44.4%,48.1%,11.8%,17.1%,13.2%,46.1%
323,Houghton College Highlanders,20,5%,4.3,3.8,0.882,1.9,1.4,3.3,43.1%,47.7%,12.9%,14.1%,9.4%,41.2%
324,Gettysburg College Bullets,25,2.6%,2,1.8,0.882,1,0.8,1.8,45.5%,46.6%,7.8%,5.9%,3.9%,43.1%
325,Wittenberg,30,5.1%,4,3.5,0.883,1.8,1.4,3.1,43.6%,48.9%,15.8%,10.8%,10%,39.2%
326,Olivet Comets,29,3.3%,3,2.6,0.884,1.1,0.8,1.9,40%,40.9%,14%,24.4%,16.3%,46.5%
327,Whittier College Poets,23,5.4%,4.9,4.3,0.885,1.8,1.7,3.5,47.5%,49.4%,17.7%,14.2%,8%,43.4%
328,Saint Vincent Bearcats,26,5.5%,4.3,3.8,0.885,1.6,1.3,2.9,44.7%,44.7%,15%,22.1%,15.9%,46.9%
329,Bluffton,26,5.9%,4.4,3.9,0.886,1.8,1.5,3.3,45.9%,50%,14.9%,11.4%,11.4%,43%
330,Baldwin Wallace,27,9.8%,7.8,6.9,0.886,4,2.7,6.7,40.7%,43.1%,5.2%,10.9%,10%,43.1%
331,Averett University Cougars,26,5%,4.4,3.9,0.886,1.6,1.3,2.9,44%,46%,18.4%,18.4%,13.2%,43.9%
332,Southwestern University (TX) Pirates,27,5.2%,4.6,4.1,0.887,2,1.6,3.6,43.9%,47.4%,12.1%,13.7%,10.5%,41.9%
333,Haverford Fords,24,3.1%,2.6,2.3,0.887,1,0.7,1.7,42.5%,42.5%,14.5%,25.8%,19.4%,45.2%
334,Fredonia State Blue Devils,24,6%,4.9,4.3,0.889,2.2,1.8,4,44.2%,47.4%,12%,9.4%,4.3%,41.9%
335,John Jay Bloodhounds,25,6%,5.2,4.6,0.891,2.3,1.6,3.9,40.8%,43.4%,8.5%,18.6%,14%,46.5%
336,Manchester Spartans,25,5.5%,4.4,4,0.892,1.7,1.4,3.1,44.2%,45.5%,14.4%,18.9%,13.5%,45.9%
337,William Paterson Pioneers,29,5.3%,4.5,4,0.893,1.6,1.5,3.1,48.4%,51.1%,21.4%,12.2%,10.7%,42.7%
338,Kenyon Lords,25,4.8%,3.8,3.4,0.894,1.6,1.2,2.8,43.7%,47.9%,11.7%,14.9%,12.8%,43.6%
339,Bard College,25,3.6%,3.1,2.8,0.896,1.2,1.1,2.2,48.2%,48.2%,16.9%,13%,7.8%,44.2%
340,Mary Hardin-Baylor Crusaders,25,5.7%,5.2,4.7,0.9,2.2,1.6,3.8,42.1%,45.3%,10.8%,20%,17.7%,43.8%
341,Blackburn Beavers,28,5.6%,5.1,4.6,0.902,2.2,1.8,3.9,44.5%,47.7%,13.3%,11.2%,7%,43.4%
342,Ursinus Bears,27,4.2%,3.4,3.1,0.903,1.4,0.9,2.4,39.1%,41.4%,9.7%,23.7%,19.4%,47.3%
343,Shenandoah University Hornets,28,2.9%,2.6,2.4,0.904,1.2,0.9,2.1,43.1%,44%,11%,16.4%,13.7%,43.8%
344,Wilmington (OH) Quakers,25,8.5%,7.6,6.9,0.905,2.4,2.6,5,51.6%,54.4%,20.5%,16.8%,11.1%,45.8%
345,Oneonta State Red Dragons,29,7.1%,5.8,5.3,0.905,2.5,1.7,4.2,40.7%,46.7%,13.6%,16%,10.7%,42.6%
346,Albion Britons,25,4.8%,3.8,3.4,0.905,1.1,1.3,2.4,53.3%,58.3%,24.2%,15.8%,11.6%,43.2%
347,Pfeiffer University Falcons,24,1.3%,1.3,1.2,0.906,0.5,0.5,1,50%,52.1%,18.8%,12.5%,9.4%,43.8%
348,Huntingdon Hawks,24,4.6%,4.1,3.8,0.909,1.4,1.3,2.8,48.5%,52.3%,19.2%,16.2%,13.1%,45.5%
349,Mount St. Joseph Lions,26,5.3%,3.9,3.5,0.911,1.9,1.4,3.3,43%,45.9%,6.9%,10.9%,9.9%,42.6%
350,Moravian,26,6.4%,5.6,5.1,0.911,2.2,1.9,4.1,46.7%,48.6%,11%,19.2%,16.4%,47.3%
351,Edgewood College (WI) Eagles,28,7.5%,6,5.5,0.911,2.6,2.1,4.7,44.3%,46.9%,10.7%,14.3%,14.3%,44.6%
352,Clarks Summit University Defenders,26,3.6%,3,2.8,0.911,1.2,1.1,2.3,46.7%,48.3%,13.9%,20.3%,19%,41.8%
353,Westfield State Owls,8,4.9%,4.3,3.9,0.912,1.5,1.8,3.3,53.8%,53.8%,17.6%,11.8%,8.8%,47.1%
354,Puget Sound Loggers,26,3.9%,4,3.6,0.913,1.6,1.3,3,45.5%,49.4%,17.5%,12.6%,9.7%,41.7%
355,Alfred Saxons,26,6.9%,5.8,5.3,0.914,2.3,1.9,4.2,45.4%,48.1%,13.8%,17.8%,10.5%,45.4%
356,SUNY Canton Kangaroos,22,2.6%,2.3,2.1,0.92,0.7,0.8,1.5,54.5%,59.1%,22%,14%,8%,44%
357,Hobart College Statesmen,26,5.1%,4.3,4,0.92,1.7,1.4,3.1,44.4%,49.4%,13.4%,16.1%,8%,44.6%
358,Ohio Northern Polar Bears,29,5.6%,4.8,4.4,0.921,2.2,1.5,3.7,40.7%,45.4%,10.8%,12.9%,8.6%,43.2%
359,Keuka,11,7.3%,5.8,5.4,0.922,2.3,1.8,4.1,44.4%,47.8%,10.9%,23.4%,20.3%,46.9%
360,Otterbein,24,5.5%,4.5,4.2,0.926,2.3,1.6,3.9,41.9%,46.8%,7.4%,8.3%,7.4%,41.7%
361,Loras Duhawks,26,6.7%,5.7,5.3,0.926,2.3,2,4.3,46%,49.1%,13.4%,14.8%,10.7%,43%
362,LeTourneau Yellow Jackets,31,8.1%,7.4,6.8,0.926,3,2.4,5.4,43.7%,48.8%,13.1%,17%,15.3%,43.2%
363,St. Norbert Green Knights,16,7.4%,5.2,4.8,0.928,2.1,1.9,4.1,47.7%,53.1%,16.9%,7.2%,6%,42.2%
364,Illinois Wesleyan Titans,27,7.2%,5.7,5.3,0.928,2.3,2,4.2,46.5%,50.9%,13.1%,13.7%,8.5%,45.8%
365,Wisconsin Lutheran Warriors,25,5.2%,4.5,4.2,0.929,1.8,1.5,3.3,44.6%,47.6%,12.5%,16.1%,8.9%,45.5%
366,Skidmore Thoroughbreds,26,5.4%,4.3,4,0.929,1.7,1.2,2.9,41.3%,48%,15.2%,22.3%,16.1%,43.8%
367,Gallaudet University Bison,23,2.1%,1.8,1.7,0.929,0.7,0.6,1.3,48.3%,56.9%,19%,11.9%,9.5%,42.9%
368,Johnson & Wales Denver Wildcats,21,4.8%,4.1,3.8,0.93,1.5,1.4,2.9,48.3%,53.3%,14%,17.4%,17.4%,45.3%
369,Becker,7,5.1%,4.3,4,0.933,1.7,1.6,3.3,47.8%,52.2%,10%,13.3%,3.3%,46.7%
370,SUNY Cortland Dragons,24,6.3%,5,4.7,0.934,2.4,1.9,4.3,44.1%,49%,9.9%,9.1%,7.4%,42.1%
371,Schreiner Mountaineers,30,7.3%,6.2,5.8,0.935,2.5,2,4.5,44.4%,48.1%,13.5%,15.7%,13.5%,44.9%
372,Lewis & Clark Pioneers,26,6.4%,5.4,5.1,0.936,2.3,1.9,4.2,45.5%,45.9%,11.3%,17.7%,16.3%,45.4%
373,Dubuque,26,5.3%,4.3,4.1,0.938,1.6,1.2,2.8,41.7%,45.1%,10.6%,30.1%,21.2%,49.6%
374,Wheelock,7,5.6%,5,4.7,0.943,1.9,1.3,3.1,40.9%,40.9%,8.6%,31.4%,25.7%,51.4%
375,Bryn Athyn College,15,2.6%,2.3,2.2,0.943,0.7,0.8,1.5,52.2%,52.2%,14.3%,22.9%,22.9%,51.4%
376,Oglethorpe Stormy Petrels,27,4%,3.3,3.1,0.944,1.5,1.1,2.6,43.7%,47.9%,10.1%,13.5%,13.5%,44.9%
377,Kings (PA),24,5.1%,4.6,4.4,0.946,1.5,1.6,3.1,52.7%,55.4%,18.9%,18%,11.7%,46.8%
378,Valley Forge Christian College Patriots,6,3.8%,3.2,3,0.947,0.8,1.2,2,58.3%,62.5%,26.3%,10.5%,5.3%,47.4%
379,Redlands Bulldogs,23,3.7%,3.3,3.1,0.947,1.3,0.9,2.2,42%,46%,14.5%,22.4%,15.8%,46.1%
380,Elizabethtown College,23,4%,3.3,3.1,0.947,1.2,1.2,2.4,50%,50.9%,11.8%,17.1%,14.5%,48.7%
381,Centenary Gentlemen,25,4.6%,3.8,3.6,0.948,1.2,1,2.3,45.6%,49.1%,17.7%,26%,14.6%,47.9%
382,PennState-Altoona,26,6.4%,6.1,5.8,0.949,2.2,2.1,4.3,48.6%,51.8%,16.5%,15.8%,12%,46.2%
383,Pomona-Pitzer Saghens,21,3.8%,3,2.8,0.952,1.1,1.1,2.3,50%,50%,9.7%,19.4%,14.5%,50%
384,Kalamazoo College Hornets,25,5.2%,4.3,4.1,0.953,1.5,1.3,2.8,46.4%,51.4%,13.1%,23.4%,14%,45.8%
385,Hartwick,25,4%,3.5,3.3,0.954,1.4,1.2,2.6,47%,50%,10.3%,14.9%,6.9%,46%
386,Capital,26,6.5%,5.1,4.8,0.955,2.3,1.8,4,43.8%,48.1%,9.8%,11.4%,7.6%,45.5%
387,Northwestern (MN),27,4.6%,3.5,3.3,0.957,1.5,1.3,2.7,45.9%,50.7%,14.9%,10.6%,9.6%,42.6%
388,Concordia (Chicago) Cougars,25,3%,2.8,2.6,0.957,1.2,1.1,2.3,47.4%,50%,11.6%,11.6%,10.1%,44.9%
389,Frostburg State Bobcats,27,4%,3.6,3.4,0.958,1.5,1.3,2.8,46.1%,48%,9.4%,16.7%,13.5%,46.9%
390,Emory & Henry Wasps,29,5%,4.1,3.9,0.958,1.6,1.5,3.1,49.4%,53.9%,15.1%,12.6%,11.8%,47.1%
391,Maine Presque Isle Owls,21,5.4%,4.7,4.5,0.959,1.7,1.8,3.5,50.7%,52.7%,14.3%,13.3%,10.2%,46.9%
392,Alma Scots,26,3.8%,3.3,3.2,0.965,1.2,1.1,2.3,46.7%,51.7%,16.5%,15.3%,12.9%,44.7%
393,La Verne Leopards,26,5.4%,4.6,4.5,0.967,1.7,1.8,3.5,50.5%,51.1%,13.3%,11.7%,10%,48.3%
394,St. Joseph's (LI) Eagles,9,4.4%,3.6,3.4,0.969,1.4,1,2.4,40.9%,45.5%,9.4%,21.9%,21.9%,50%
395,Rivier,10,3.5%,3.2,3.1,0.969,1.1,1.1,2.2,50%,54.5%,18.8%,12.5%,9.4%,46.9%
396,Austin College Roos,24,3.9%,3.7,3.6,0.977,1.2,1.3,2.4,51.7%,54.3%,15.9%,22.7%,18.2%,48.9%
397,Mount Union Raiders,26,6.8%,5.5,5.4,0.979,2,1.8,3.8,47%,52%,16%,17.4%,13.2%,46.5%
398,City College of New York (CCNY) Beavers,20,4.9%,4.2,4.1,0.988,1.7,1.7,3.3,50%,52.3%,8.4%,15.7%,12%,48.2%
399,Wabash College Little Giants,26,5.1%,4,4,0.99,1.8,1.5,3.3,44.7%,48.8%,6.7%,15.2%,14.3%,46.7%
400,Saint John's (MN) Johnnies,27,4.9%,3.7,3.7,0.99,1.7,1.3,2.9,43%,46.2%,7.9%,17.8%,12.9%,46.5%
401,SUNY Old Westbury Panthers,10,1.8%,1.6,1.6,1,0.3,0.4,0.7,57.1%,64.3%,31.3%,25%,25%,50%
402,Pratt Institute Cannoneers,2,2.1%,2,2,1,1,1,2,50%,50%,0%,0%,0%,50%
403,PennState-Berks,12,4.6%,4.3,4.3,1,1.6,1.3,2.9,45.7%,48.6%,9.8%,25.5%,19.6%,52.9%
404,Norwich,13,3.9%,3.3,3.3,1,0.9,1.4,2.3,60%,60%,18.6%,14%,9.3%,51.2%
405,Maranatha Baptist,10,3.9%,3.5,3.5,1,1.4,1.2,2.6,46.2%,55.8%,17.1%,11.4%,8.6%,42.9%
406,Lyndon State Hornets,7,4.3%,4.3,4.3,1,1.3,1.6,2.9,55%,62.5%,20%,13.3%,10%,46.7%
407,Coast Guard Academy Bears,23,5.1%,4.3,4.3,1,1.9,1.6,3.5,45.7%,50.6%,10%,13%,13%,46%
408,Central (IA),28,4.4%,3.8,3.8,1,1.5,1.1,2.6,43.2%,45.9%,13.1%,21.5%,17.8%,47.7%
409,Carnegie Mellon Tartans,25,3.2%,2.6,2.6,1,1.1,1,2,47.1%,49%,9.1%,16.7%,13.6%,48.5%
410,Berkeley (NY) Knights,1,4.2%,4,4,1,1,1,2,50%,50%,25%,25%,25%,50%
411,Berkeley (NJ) Knights,1,1.1%,1,1,1,0,0,0,-,-,0%,100%,100%,100%
412,North Central (MN) Rams,26,4.2%,3.7,3.7,1.011,1.4,1.4,2.8,50%,54.9%,11.6%,13.7%,11.6%,49.5%
413,George Fox Bruins,26,3.9%,3.6,3.6,1.011,1.3,1.2,2.5,47.7%,49.2%,9.7%,22.6%,14%,51.6%
414,College of New Jersey Lions,27,6.2%,5.2,5.3,1.014,1.8,1.9,3.7,51.5%,56.1%,17.1%,17.1%,14.3%,47.9%
415,SUNY Purchase Panthers,12,5.8%,4.8,4.8,1.018,1.8,1.8,3.7,50%,55.7%,14%,12.3%,8.8%,47.4%
416,Worcester State Lancers,9,4.3%,3.8,3.9,1.029,1.2,1.3,2.6,52.2%,54.3%,14.7%,20.6%,14.7%,52.9%
417,Bowdoin Polar Bears,24,4.5%,3.6,3.8,1.034,1.4,1.5,2.9,51.4%,55.7%,12.6%,10.3%,6.9%,48.3%
418,Macalester College Scots,24,1.4%,1.3,1.4,1.062,0.5,0.5,1,52%,52%,9.4%,21.9%,18.8%,53.1%
419,New England Nor easters,26,1.7%,1.8,1.9,1.064,0.7,0.6,1.3,47.1%,48.5%,8.5%,23.4%,23.4%,53.2%
420,Martin Luther College Knights,24,5.8%,4.9,5.3,1.068,1.8,2,3.8,52.7%,55.5%,11.9%,17.8%,17.8%,50.8%
421,Hood,25,1.1%,1,1,1.083,0.4,0.3,0.7,47.1%,55.9%,12.5%,16.7%,8.3%,50%
422,Bates College Bobcats,22,3.3%,3,3.2,1.092,0.9,1.3,2.2,58.3%,60.4%,15.4%,13.8%,13.8%,50.8%
423,Maine Maritime Academy Mariners,8,4.6%,4,4.4,1.094,1.3,1.6,2.9,56.5%,63%,18.8%,12.5%,12.5%,50%
424,Goucher Gophers,25,2%,1.7,1.8,1.095,0.5,0.6,1.1,57.1%,62.5%,14.3%,19%,9.5%,54.8%
425,Knox,17,3.6%,2.9,3.2,1.1,0.9,1.2,2.2,56.8%,62.2%,18%,10%,6%,50%
426,Johnson State,4,4.8%,4.8,5.3,1.105,2,2,4,50%,56.3%,10.5%,10.5%,10.5%,47.4%
427,Newbury,5,1.7%,1.8,2,1.111,0.6,0.6,1.2,50%,58.3%,11.1%,22.2%,22.2%,55.6%
428,New Rochelle Blue Angels,7,3.6%,3.6,4,1.12,1.1,1,2.1,46.7%,46.7%,8%,36%,28%,56%
429,Cal Lutheran Kingsmen,21,4.4%,3.8,4.2,1.127,1.5,1.7,3.2,53.7%,58.2%,7.6%,8.9%,6.3%,51.9%
430,Rhode Island College Anchormen,20,4.4%,3.7,4.2,1.137,1.4,1.5,2.9,52.6%,57.9%,9.6%,16.4%,12.3%,52.1%
431,Concordia (Moorhead) Cobbers,24,3.8%,3,3.8,1.268,0.9,1.3,2.2,59.6%,61.5%,7%,25.4%,19.7%,62%
432,Grinnell,6,0.2%,0.2,0.3,2,0,0.2,0.2,100%,100%,0%,0%,0%,100%
