Game_Date(mm/dd/yyyy),Team_ID,Game_ID,Team_Game_Status_ID,Game_Name,Final_Points,First_Half,Second_Half,OT,Series_Win,Home_Win,Home_Loss,Away_Win,Away_Loss,Season_Win,Season_Loss,Total_Min,Average_SST,"Average_SST
ex
Pts",Pts,Average_PPP,Total_Ast,Total_T/O,"Average_Ast/
TO",Total_Stl,"Total_Stl
Pos",Total_Blk,"Total_Ttl
Reb","Total_Off
Reb","Total_Def
Reb",Total_FGA,Total_FGM,Total_FGm,Average_FG%,Average_aFG%,"Total_2
FGA","Total_2
FGM","Total_2
FGm","Average_2
FG%","Total_3
FGA","Total_3
FGM","Total_3
FGm","Average_3
FG%",Total_FTA,Total_FTM,Total_FTm,Average_FT%,Total_+1,"Total_PF
Tkn","Total_PF
Com"
2/20/2018,1,1,2,EastWest@IllinoisTech,42,19,23,,0,0,0,0,16,1,16,40,0.53,0.32,42,0.45,7,15,0.47,6,11,4,40,19,21,64,16,48,0.25,0.258,51,15,36,0.294,13,1,12,0.077,20,9,11,0.45,0,11,18
2/20/2018,20,1,1,EastWest@IllinoisTech,78,35,43,,1,7,3,5,4,12,7,40,1.09,0.48,78,0.98,16,8,2,11,6,3,41,11,30,64,31,33,0.484,0.523,45,26,19,0.578,19,5,14,0.263,17,11,6,0.647,1,10,13
2/14/2018,2,2,1,IllinoisTech@MSOE,65,36,29,,1,9,4,7,6,16,10,40,0.89,0.26,65,0.93,13,13,1,9,8,1,23,9,14,46,22,24,0.478,0.533,31,17,14,0.548,15,5,10,0.333,21,16,5,0.762,0,13,10
2/14/2018,20,2,2,IllinoisTech@MSOE,59,35,24,,0,7,3,5,4,12,7,40,0.53,0.18,59,0.86,8,16,0.5,8,9,1,25,8,17,51,25,26,0.49,0.569,36,17,19,0.472,15,8,7,0.533,1,1,0,1,1,3,20
1/31/2018,3,3,2,DominicanIL@IllinoisTech,58,29,29,,0,4,7,2,12,6,19,40,0.57,0.22,58,0.82,12,11,1.09,7,5,3,21,2,19,58,24,34,0.414,0.474,34,17,17,0.5,24,7,17,0.292,4,3,1,0.75,0,4,17
1/31/2018,20,3,1,DominicanIL@IllinoisTech,68,34,34,,1,7,3,5,4,12,7,40,0.8,0.26,68,0.87,14,18,0.78,5,7,3,37,8,29,53,27,26,0.509,0.557,40,22,18,0.55,13,5,8,0.385,14,9,5,0.643,3,17,14
1/27/2018,4,4,2,MoodyBible@IllinoisTech,51,27,24,,0,0,2,0,3,0,5,40,0.55,0.18,51,0.75,11,17,0.65,6,13,3,27,4,23,46,17,29,0.37,0.478,25,7,18,0.28,21,10,11,0.476,11,7,4,0.636,0,7,9
1/27/2018,20,4,1,MoodyBible@IllinoisTech,66,34,32,,1,7,3,5,4,12,7,40,0.91,0.53,66,0.8,18,13,1.38,13,6,3,45,19,26,71,26,45,0.366,0.437,42,16,26,0.381,29,10,19,0.345,4,4,0,1,0,6,12
1/20/2018,5,5,2,IllinoisTech@WheatonIL,76,37,39,,1,9,4,8,5,17,9,40,0.95,0.46,76,1.03,18,9,2,7,2,10,31,10,21,62,33,29,0.532,0.589,44,26,18,0.591,18,7,11,0.389,9,3,6,0.333,1,6,12
1/20/2018,20,5,1,IllinoisTech@WheatonIL,55,36,19,,0,7,3,5,4,12,7,40,0.62,0.26,55,0.65,6,14,0.43,2,7,5,37,17,20,63,20,43,0.318,0.365,47,14,33,0.298,16,6,10,0.375,13,9,4,0.692,1,9,10
1/17/2018,6,6,2,Roosevelt@IllinoisTech,65,20,45,,1,15,3,11,5,26,8,40,0.72,0.2,65,0.88,10,15,0.67,6,7,3,26,5,21,52,23,29,0.442,0.519,32,15,17,0.469,20,8,12,0.4,16,11,5,0.688,1,13,22
1/17/2018,20,6,1,Roosevelt@IllinoisTech,56,23,33,,0,7,3,5,4,12,7,40,0.73,0.35,56,0.66,10,18,0.56,8,6,6,41,17,24,54,20,34,0.37,0.426,39,14,25,0.359,15,6,9,0.4,24,10,14,0.417,2,16,15
1/6/2018,7,7,2,Carthage@IllinoisTech,80,30,42,8,0,6,5,7,7,13,12,40,1.02,0.37,80,0.85,13,7,1.86,5,5,4,37,17,20,73,26,47,0.356,0.397,54,20,34,0.37,19,6,13,0.316,29,22,7,0.759,1,16,20
1/6/2018,20,7,1,Carthage@IllinoisTech,86,38,34,14,1,7,3,5,4,12,7,40,1.13,0.46,86,0.92,16,11,1.45,5,5,9,46,20,26,71,31,40,0.437,0.479,56,25,31,0.446,15,6,9,0.4,24,18,6,0.75,2,14,21
1/3/2018,8,8,2,Wabash@IllinoisTech,66,36,30,,1,7,6,5,8,12,14,40,0.75,0.3,66,0.87,9,11,0.82,7,7,1,37,10,27,58,26,32,0.448,0.509,45,19,26,0.422,13,7,6,0.538,12,7,5,0.583,1,7,18
1/3/2018,20,8,1,Wabash@IllinoisTech,61,29,32,,0,7,3,5,4,12,7,40,0.78,0.23,61,0.85,5,10,0.5,7,7,5,28,4,24,51,22,29,0.431,0.451,43,20,23,0.465,8,2,6,0.25,21,15,6,0.714,5,15,12
12/29/2018,9,9,2,Knox@IllinoisTech,55,28,27,,0,1,5,2,9,3,14,40,0.58,0.16,55,0.77,11,16,0.69,4,9,0,29,6,23,50,20,30,0.4,0.47,29,13,16,0.448,21,7,14,0.333,10,8,2,0.8,0,10,19
12/29/2018,20,9,1,Knox@IllinoisTech,76,32,44,,1,7,3,5,4,12,7,40,1.09,0.55,76,0.96,20,6,3.33,9,4,5,37,16,21,68,30,38,0.441,0.485,48,24,24,0.5,20,6,14,0.3,18,10,8,0.556,3,15,13
12/18/2018,10,10,2,Fontbonne@IllinoisTech,71,27,44,,0,2,5,1,7,3,12,40,0.78,0.23,71,0.82,16,13,1.23,4,10,1,27,4,23,65,27,38,0.415,0.462,47,21,26,0.447,18,6,12,0.333,12,11,1,0.917,2,10,19
12/18/2018,20,10,1,Fontbonne@IllinoisTech,74,39,35,,1,7,3,5,4,12,7,40,0.96,0.36,74,0.82,8,15,0.53,10,4,6,42,12,30,61,29,32,0.475,0.5,44,26,18,0.591,17,3,14,0.176,22,13,9,0.591,1,18,17
12/13/2018,11,11,1,IllinoisTech@CornellCollege,69,28,41,,1,4,2,3,5,7,7,40,0.98,0.41,69,0.86,16,11,1.45,5,6,3,43,13,30,58,24,34,0.414,0.474,38,17,21,0.447,20,7,13,0.35,22,14,8,0.636,1,14,10
12/13/2018,20,11,2,IllinoisTech@CornellCollege,64,34,30,,0,7,3,5,4,12,7,40,0.68,0.32,64,0.83,14,9,1.56,6,5,2,32,7,25,65,26,39,0.4,0.469,43,17,26,0.395,22,9,13,0.409,7,3,4,0.429,1,6,20
12/10/2018,12,12,2,Chicago@IllinoisTech,54,22,32,,0,10,3,3,9,13,12,40,0.54,0.24,54,0.74,15,13,1.15,3,9,4,25,5,20,54,21,33,0.389,0.472,23,12,11,0.522,31,9,22,0.29,10,3,7,0.3,1,9,18
12/10/2018,20,12,1,Chicago@IllinoisTech,61,31,30,,1,7,3,5,4,12,7,40,0.91,0.34,61,0.76,4,10,0.4,10,3,4,40,13,27,56,22,34,0.393,0.393,43,22,21,0.512,13,0,13,0,24,17,7,0.708,0,13,13
12/2/2018,13,13,1,IllinoisTech@Albion,78,38,40,,0,5,6,4,8,9,14,40,1.06,0.32,78,0.95,15,15,1,10,5,3,28,10,18,54,27,27,0.5,0.556,38,21,17,0.553,16,6,10,0.375,25,18,7,0.72,2,22,30
12/2/2018,20,13,2,IllinoisTech@Albion,83,37,46,,1,7,3,5,4,12,7,40,1.08,0.16,83,1.06,14,17,0.82,5,10,1,22,3,19,43,25,18,0.581,0.674,29,17,12,0.586,14,8,6,0.571,32,25,7,0.781,0,20,24
11/29/2018,14,14,1,IllinoisTech@UWPlatteville,89,45,44,,1,16,3,8,2,24,5,40,1.19,0.52,89,1.19,25,8,3.12,8,3,3,38,9,29,61,35,26,0.574,0.664,39,24,15,0.615,22,11,11,0.5,14,8,6,0.571,1,9,24
11/29/2018,20,14,2,IllinoisTech@UWPlatteville,54,32,22,,0,7,3,5,4,12,7,40,0.7,0.22,54,0.62,7,14,0.5,3,8,2,34,13,21,57,16,41,0.281,0.307,43,13,30,0.302,14,3,11,0.214,31,19,12,0.613,1,21,17
11/26/2018,15,15,2,OlivetCollege@IllinoisTech,94,56,38,,1,9,5,6,8,15,13,40,1.15,0.4,94,1.15,18,13,1.38,11,5,6,30,6,24,62,37,25,0.597,0.677,45,27,18,0.6,17,10,7,0.588,15,10,5,0.667,2,11,22
11/26/2018,20,15,1,OlivetCollege@IllinoisTech,79,31,48,,0,7,3,5,4,12,7,40,1.14,0.36,79,0.82,13,15,0.87,6,11,3,40,19,21,70,22,48,0.314,0.386,36,12,24,0.333,34,10,24,0.294,31,25,6,0.806,1,16,17
11/25/2018,16,16,1,IllinoisTech@Kalamazoo,58,26,32,,0,5,7,3,10,8,17,40,0.68,0.23,58,0.67,8,16,0.5,14,5,2,22,8,14,57,20,37,0.351,0.395,40,15,25,0.375,17,5,12,0.294,24,13,11,0.542,0,14,23
11/25/2018,20,16,2,IllinoisTech@Kalamazoo,67,33,34,,1,7,3,5,4,12,7,40,0.92,0.22,67,0.75,13,27,0.48,5,14,4,42,13,29,50,19,31,0.38,0.46,30,11,19,0.367,20,8,12,0.4,24,21,3,0.875,1,17,18
11/21/2018,17,17,1,IllinoisTech@Rose-Hulman,59,27,32,,0,7,6,9,4,16,10,40,0.6,0.22,59,0.73,13,16,0.81,5,8,1,31,8,23,59,22,37,0.373,0.441,34,14,20,0.412,25,8,17,0.32,14,7,7,0.5,1,13,23
11/21/2018,20,17,2,IllinoisTech@Rose-Hulman,70,28,42,,1,7,3,5,4,12,7,40,0.98,0.29,70,0.96,10,13,0.77,8,5,5,33,5,28,48,23,25,0.479,0.531,38,18,20,0.474,10,5,5,0.5,28,19,9,0.679,2,20,17
11/18/2018,18,18,1,IllinoisTech@NorthPark,69,34,35,,0,3,11,2,9,5,20,40,0.93,0.34,70,0.8,13,17,0.76,4,10,3,45,17,28,58,26,32,0.448,0.474,41,23,18,0.561,17,3,14,0.176,27,15,12,0.556,3,18,21
11/18/2018,20,18,2,IllinoisTech@NorthPark,70,36,34,,1,7,3,5,4,12,7,40,0.87,0.29,69,0.9,8,10,0.8,10,4,4,27,7,20,57,23,34,0.404,0.482,30,14,16,0.467,27,9,18,0.333,21,14,7,0.667,1,13,24
11/17/2018,19,19,1,IllinoisTech@GustavusAdolphus,66,32,28,6,0,6,7,6,6,12,13,40,0.67,0.26,66,0.82,19,16,1.19,5,7,4,29,6,23,60,27,33,0.45,0.5,42,21,21,0.5,18,6,12,0.333,8,6,2,0.75,2,7,26
11/17/2018,20,19,2,IllinoisTech@GustavusAdolphus,70,36,24,10,1,7,3,5,4,12,7,40,0.86,0.28,70,0.88,14,10,1.4,8,5,1,31,7,24,56,25,31,0.446,0.464,41,23,18,0.561,15,2,13,0.133,28,18,10,0.643,4,17,13
