team_name,player_name,gp,team_ast,team_fg,team_id,player_id,MP,PTS,3P,AST,TO,FG,FT,FGA,STL,PF,FTA,TRB,ORB,DRB,BLK,pace_factor
Albion,Adam_Davis,18,15,27,13,1,11.6111,3,0.22,0.44,0.56,1,0.78,2.5,0.28,1.28,1.06,1.72,0.5,1.22,0.06,88.41304348
Albion,Aquavius_Burks,23,15,27,13,2,17.3478,5.87,0.65,1.48,1.43,2,1.22,5.04,0.48,1.48,1.83,3,0.65,2.35,0,88.41304348
Albion,Arshawn_Parker,18,15,27,13,3,10.6667,4.78,0.83,0.78,0.5,1.61,0.72,4.28,0.33,0.39,0.94,0.89,0.22,0.67,0,88.41304348
Albion,Austin_Thompson,5,15,27,13,4,2.6,0.4,0,0.6,0,0,0.4,0.2,0,0.2,0.4,0.2,0,0.2,0,88.41304348
Albion,Caden_Ebeling,25,15,27,13,5,14.84,5.48,0.32,0.64,0.8,2.04,1.08,5.32,0.08,1.84,1.4,3.84,1.16,2.68,0.12,88.41304348
Albion,Corey_Wheeler,22,15,27,13,6,23.6364,13.14,0.86,2.64,1.77,4.41,3.45,9.55,0.95,1.95,4.68,4.68,1.5,3.18,0.18,88.41304348
Albion,Dylan_Bennett,19,15,27,13,7,14.8421,2.95,0.89,0.47,0.21,1,0.05,3,0.32,1.42,0.11,1.26,0,1.26,0.05,88.41304348
Albion,Jaylen_Fordham,25,15,27,13,9,18.48,6.52,1.36,1.52,1.72,2.28,0.6,5.92,0.32,2.08,0.88,3.76,0.68,3.08,0.2,88.41304348
Albion,Juwan_Perry,14,15,27,13,10,11.9286,5,0.64,1.07,0.79,1.71,0.93,3.86,0.21,1.36,1.5,1,0.43,0.57,0,88.41304348
Albion,Nathaniel_Collins,20,15,27,13,11,19.2,8.5,1.15,0.7,1.05,2.8,1.75,6.9,0.5,2.1,2.3,1.85,0.2,1.65,0.15,88.41304348
Albion,Nathan_Kellum,17,15,27,13,12,6.7647,1.59,0,0.18,0.53,0.65,0.29,1.53,0.29,0.47,0.41,1.12,0.29,0.82,0.41,88.41304348
Albion,Ojani_Echevarria,6,15,27,13,13,8.1667,1.5,0.5,0.67,0.67,0.5,0,2.33,0.17,0.33,0,1.5,0.5,1,0,88.41304348
Albion,Quinton_Armstrong,23,15,27,13,14,16.913,8.43,0.26,0.57,1.22,3.7,0.78,6.78,0.17,2.09,1.52,4.48,2.04,2.43,0.7,88.41304348
Albion,Robert_Ryan,25,15,27,13,15,18.04,3.56,0.52,2.12,1.28,1,1.04,3.32,0.48,1.04,1.32,1.6,0.44,1.16,0,88.41304348
Albion,Ryan_Lowe,23,15,27,13,16,14.3913,7.17,0,0.96,1.22,3,1.17,4.43,0.17,2.35,1.91,5,1.91,3.09,0.35,88.41304348
Carthage,Adam_Radcliffe,5,13,26,7,17,2.2,0.4,0,0,0,0.2,0,0.6,0,0.2,0.2,0,0,0,0,80.44
Carthage,Brad_Kruse,25,13,26,7,18,36.76,16.12,1.2,2.92,2.48,5.96,3,10.52,2.08,2.44,4.48,7.12,2.64,4.48,1.48,80.44
Carthage,Brad_Perry,25,13,26,7,19,23.52,10.04,0,0.6,1.72,4.4,1.24,7.8,0.28,2.16,2.36,5.92,1.32,4.6,1.64,80.44
Carthage,Dan_Messina,5,13,26,7,21,1.8,0.4,0,0.2,0.2,0,0.4,0.4,0,0,0.4,0.2,0,0.2,0,80.44
Carthage,Derek_Mason_II,24,13,26,7,22,23.5833,8.88,1.13,1.79,2.25,3,1.75,8,0.92,2.67,2.08,1.58,0.46,1.13,0.08,80.44
Carthage,Dimitrije_Kastratovic,8,13,26,7,23,3,0,0,0,0.38,0,0,0,0,0.25,0,0.38,0,0.38,0,80.44
Carthage,Jacob_Polglase,13,13,26,7,24,9.3077,2.23,0.54,0.62,0.15,0.69,0.31,2.38,0.15,0.38,0.54,1.31,0.23,1.08,0,80.44
Carthage,Jordan_Thomas,24,13,26,7,25,33.9167,17.75,2.63,2.13,1.21,5.75,3.63,13.33,0.96,1.42,4.21,5.5,0.96,4.54,0,80.44
Carthage,Jordan_Vedder,12,13,26,7,26,8.5833,2.58,0.75,0.25,0.67,0.92,0,2.83,0,1.17,0,1.08,0.17,0.92,0.17,80.44
Carthage,Kamal_Shasi,18,13,26,7,27,26.3889,5,0.78,3.44,1.44,1.56,1.11,4.28,1,2.44,1.28,4.33,0.72,3.61,0.33,80.44
Carthage,Kienan_Baltimore,13,13,26,7,28,27.4615,16.69,1.46,2.15,2.92,5.15,4.92,11.31,0.62,3.54,6.15,3.31,1.08,2.23,0.15,80.44
Carthage,Mike_Canady,19,13,26,7,29,8.4211,1.79,0.32,0.53,0.47,0.58,0.32,1.58,0.16,0.63,0.47,1,0.11,0.89,0,80.44
Carthage,Sean_Johnson,23,13,26,7,30,15.7826,3.83,0,0.39,0.57,1.48,0.87,2.57,0.17,1.65,1.61,3.83,1.3,2.52,2,80.44
Carthage,Steve_Leazer,25,13,26,7,31,16.48,3.04,0.56,0.96,0.4,0.92,0.64,3.48,0.4,1.84,1.24,1.96,0.4,1.56,0.16,80.44
Carthage,Tj_Best,16,13,26,7,32,7.6875,1.25,0.19,0.19,0.44,0.38,0.31,1.19,0.19,0.44,0.38,0.19,0,0.19,0,80.44
Chicago,Cole_Schmitz,20,15,21,12,34,7.95,2,0,0.9,0.2,0.95,0.1,2.35,0.3,0.8,0.1,2.1,0.85,1.25,0.05,81.62
Chicago,Collin_Barthel,23,15,21,12,35,31.1304,13.39,0.87,2.3,2.04,4.48,3.57,10.52,1.09,2.04,4.65,8.74,2.43,6.3,0.3,81.62
Chicago,Dominic_Laravie,25,15,21,12,36,7.72,2.56,0.12,0.2,0.36,0.96,0.52,2.44,0.12,0.64,1,2.28,1.12,1.16,0.08,81.62
Chicago,Jake_Berhorst,24,15,21,12,38,9.8333,2.71,0.58,0.83,1,0.92,0.29,2.46,0.04,0.58,0.42,1.17,0.13,1.04,0,81.62
Chicago,Jake_Fenlon,25,15,21,12,39,31,17.44,4,1.44,1.76,5.6,2.24,13.8,0.56,1.36,2.72,2,0.32,1.68,0.12,81.62
Chicago,Jordan_Baum,25,15,21,12,40,30.08,7.4,1.96,5.68,2.16,2.44,0.56,6.2,1.4,1.88,0.68,4.68,0.24,4.44,0.44,81.62
Chicago,Justin_Jackson,25,15,21,12,41,15.08,6.08,0.12,0.88,0.96,2,1.96,4.4,0.2,1.64,3.28,2.6,1.52,1.08,0.08,81.62
Chicago,Mattia_Colangelo,24,15,21,12,43,6.2917,0.96,0.29,0.42,0.38,0.33,0,1.33,0.13,0.33,0,1.08,0.29,0.79,0.17,81.62
Chicago,Max_Jacobs,25,15,21,12,44,13.6,3.68,0.12,0.96,0.92,1.28,1,2.4,0.6,1.52,1.48,2.36,0.68,1.68,0,81.62
Chicago,Noah_Karras,25,15,21,12,45,23.84,9.36,1.84,1.08,1.04,3.4,0.72,9.08,0.32,2,0.92,2.2,0.32,1.88,0.28,81.62
Chicago,Ryan_Jacobsen,22,15,21,12,47,20.8636,7.27,0.14,1.09,1.36,2.73,1.68,5,0.45,2.68,3.27,6.09,2.45,3.64,0.32,81.62
Chicago,Sam_Sustacek,25,15,21,12,49,10.44,4,0,0.68,0.6,1.56,0.88,2.64,0.24,1.48,1.68,2.72,1.08,1.64,0.04,81.62
CornellCollege,Austin_Dyer,7,16,24,11,50,5.4286,0.57,0,0.29,0.57,0.29,0,1.14,0,0.43,0,1.57,0.86,0.71,0.14,81.07142857
CornellCollege,Brad_Hund,14,16,24,11,51,22.0714,8.64,0.43,1.07,1.57,3.57,1.07,6.86,0.29,2,2.29,5.71,1.86,3.86,0.64,81.07142857
CornellCollege,Cody_Carter,13,16,24,11,53,11,2.62,0.62,0.62,0.92,0.92,0.15,2.92,0.31,0.46,0.31,1.69,0.38,1.31,0.15,81.07142857
CornellCollege,Cooper_Kabela,14,16,24,11,54,10.8571,3,0.14,0.43,0.57,1.07,0.71,2.07,0.14,0.43,1,1.86,0.36,1.5,0.14,81.07142857
CornellCollege,Corey_Davis,14,16,24,11,55,24.1429,12.71,0.21,4.14,3.79,4.43,3.64,9.79,2.86,2,5.64,4.79,0.79,4,0.21,81.07142857
CornellCollege,Craig_Engle,12,16,24,11,56,18.5,4.33,0.83,1.17,1.08,1.25,1,4,0.17,1.08,1.08,1.08,0.08,1,0,81.07142857
CornellCollege,Dylan_Murdock,5,16,24,11,57,3.8,0.4,0,0.2,0.2,0.2,0,0.4,0.2,0,0,0.6,0,0.6,0,81.07142857
CornellCollege,Jan_Siegien,12,16,24,11,59,12.75,4,0.83,0.33,0.83,1.42,0.33,4,0.33,0.75,0.67,1.17,0,1.17,0.08,81.07142857
CornellCollege,Jon_Anderson,14,16,24,11,60,20.7857,12.79,0,0.29,1.36,4.64,3.5,7.79,0.71,3.14,5.29,6.93,1.71,5.21,0.64,81.07142857
CornellCollege,Jordan_Venters,5,16,24,11,62,3.2,3,0.8,0.2,0.4,1,0.2,2.4,0.4,0,0.4,0.2,0,0.2,0,81.07142857
CornellCollege,Keegan_Van_Kooten,14,16,24,11,64,11.1429,1.93,0.21,0.5,0.93,0.64,0.43,3.5,0.43,1.5,0.79,1.43,0.5,0.93,0.36,81.07142857
CornellCollege,Michael_Drew,14,16,24,11,65,19.2857,5.29,0.29,1,1.29,1.79,1.43,4.36,0.71,1.14,1.86,4,0.64,3.36,0,81.07142857
CornellCollege,Michael_Fiorito,14,16,24,11,66,15.5,5.07,1.14,1.36,1.5,1.5,0.93,4.29,0.5,1.14,1.57,1.64,0.14,1.5,0,81.07142857
CornellCollege,Scott_Gasik,6,16,24,11,67,7,3.5,1,0.17,0.17,1.17,0.17,2.5,0.17,0.67,0.67,0.83,0.5,0.33,0,81.07142857
DominicanIL,Andrew_Wojcik,16,12,24,3,68,6.9375,2.69,0.25,0.88,0.94,0.88,0.69,2.13,0.19,0.88,0.94,0.75,0.06,0.69,0,81.86
DominicanIL,Antonio_Amoah,22,12,24,3,69,14.0909,5.45,0.41,0.64,1.14,2.14,0.77,4.64,0.64,1.27,1.18,2.95,1,1.95,0.05,81.86
DominicanIL,Arrin_Westbrook,10,12,24,3,70,4.6,2.1,0.1,0.4,0.3,1,0,2.4,0,0.4,0,0.8,0.2,0.6,0,81.86
DominicanIL,Connor_Dartt,25,12,24,3,71,14.32,2.6,0.12,0.36,1.28,0.88,0.72,3.2,0.44,2.12,1.2,3.4,1.08,2.32,0.2,81.86
DominicanIL,Dennis_Handy,23,12,24,3,72,13.3478,2.7,0.3,0.7,0.83,1.04,0.3,3.35,0.48,1.61,0.61,1.35,0.57,0.78,0.17,81.86
DominicanIL,Domenic_Aiello,25,12,24,3,73,17.96,7.4,1.64,1.92,1.8,2.44,0.88,6.36,1.28,2.04,1.52,1.4,0.12,1.28,0.04,81.86
DominicanIL,Isaac_Moore,19,12,24,3,74,17.2632,5.68,1.21,0.47,0.74,2,0.47,5.79,0.68,2.47,0.63,3.89,0.42,3.47,0.05,81.86
DominicanIL,Jackson_Smith,25,12,24,3,75,13.48,5.56,0.84,0.56,0.96,2,0.72,5.32,0.32,1.32,1.28,1.56,0.72,0.84,0.12,81.86
DominicanIL,Jonny_Woolf,23,12,24,3,76,28.4348,14.7,1.3,2.57,2.43,5.39,2.61,10.78,2.04,2.78,3.43,6.3,1.13,5.17,0.96,81.86
DominicanIL,Nick_LaVere,24,12,24,3,78,18.1667,4.92,0.29,0.88,0.63,1.96,0.71,4.79,0.46,1.08,1.33,1.71,0.67,1.04,0.08,81.86
DominicanIL,Rory_Cunningham,12,12,24,3,79,7.25,1.83,0.17,0.25,0.42,0.75,0.17,2.08,0.25,1,0.33,2.33,0.42,1.92,0.5,81.86
DominicanIL,Sean_Ek,17,12,24,3,80,13.1176,2.41,0.47,1.35,1.12,0.76,0.41,1.94,0.35,1.06,0.47,0.88,0.18,0.71,0,81.86
DominicanIL,Tim_Robertson,24,12,24,3,81,25.625,14.79,0.42,1.71,1.96,5.63,3.13,13.63,0.29,1.54,4.25,4.58,0.96,3.63,0.75,81.86
EastWest,Ahmad_Eshftari,5,7,16,1,83,2.4,1.2,0,0.4,0.2,0.4,0.4,1.4,0.4,1.6,1.2,2,1,1,0,93.11764706
EastWest,Amare_Thurman,12,7,16,1,84,8.3333,3.42,0.42,1.08,1.25,1.25,0.5,3.67,0.75,1.17,1,1.92,0.83,1.08,0,93.11764706
EastWest,Brian_Ashberry,13,7,16,1,86,12.1538,5,0.08,0.15,1.15,1.92,1.08,4.92,0.77,1.85,2.38,3.85,1.46,2.38,0.31,93.11764706
EastWest,Carl_Moore,15,7,16,1,87,25.6667,12.47,1.73,2.13,3.07,4.47,1.8,12.6,1.2,2,2.27,5.67,1.2,4.47,0.6,93.11764706
EastWest,Cortland_Gillespie,15,7,16,1,88,11,7.07,0.73,0.87,2.4,2.33,1.67,6.13,0.47,1.4,3,1.73,0.53,1.2,0,93.11764706
EastWest,Eric_Spencer,12,7,16,1,90,6.0833,4,0.08,0.58,0.83,1.42,1.08,4.5,0.42,2,2.17,2.08,0.75,1.33,0.33,93.11764706
EastWest,Jeremy_Hargrove,13,7,16,1,91,9.8462,3.46,0.62,0.85,1.62,1,0.85,3.08,0.31,1.54,1.23,1.38,0.23,1.15,0.08,93.11764706
EastWest,Markus_Johnson,15,7,16,1,94,20,9.47,0.07,0.6,1.4,3.53,2.33,7.13,0.8,3.2,4.27,6.73,3.2,3.53,0.87,93.11764706
EastWest,Patrick_Rucker,16,7,16,1,95,21.375,12.06,1.44,2.81,2.44,4,2.63,9.38,1.44,3.06,3.38,4.5,0.69,3.81,0.13,93.11764706
EastWest,Roland_Watkins,12,7,16,1,96,4.9167,1.25,0,0.25,0.33,0.42,0.42,1.25,0.17,1.33,0.58,0.92,0.25,0.67,0.17,93.11764706
EastWest,Scherone_Clarke,9,7,16,1,97,1.7778,0.44,0,0.11,0.33,0.22,0,0.89,0,2.22,0.22,1.11,0.33,0.78,0.22,93.11764706
EastWest,Sherman_Brown,11,7,16,1,98,6.0909,2.45,0,0.36,0.73,1,0.45,2.55,0.36,2.82,0.73,1.73,0.73,1,0.18,93.11764706
EastWest,Sherman_Carter,14,7,16,1,99,22.7143,15.93,1.79,2.29,3.71,5.21,3.71,15.07,1.14,3.14,5,3.07,1.29,1.79,0.14,93.11764706
Fontbonne,Anthony_Loper,6,16,27,10,101,10.8333,2.17,0,0.67,0.83,0.83,0.5,2.67,0.5,2.17,1,2.17,0.83,1.33,0,101.3
Fontbonne,Brian_Wacha,5,16,27,10,102,2,0.6,0.2,0,0.2,0.2,0,0.2,0,0.4,0,0.2,0.2,0,0,101.3
Fontbonne,Erich_Schark,16,16,27,10,103,21,7.81,0.19,2.13,1.81,3.25,1.13,5.56,0.44,2.38,1.94,4.75,1.44,3.31,0.88,101.3
Fontbonne,Garrett_Goodnight,7,16,27,10,104,9.1429,0.14,0,0.86,0.57,0,0.14,0.86,0.86,1.29,0.29,0.57,0,0.57,0,101.3
Fontbonne,Jack_Lake,5,16,27,10,105,14.6,4.8,0.4,0.4,1.6,2,0.4,5.8,0,2.2,0.4,2.2,0.8,1.4,0.4,101.3
Fontbonne,Jahmad_Wilburn,11,16,27,10,107,10.3636,2.73,0.09,0.55,1,1.09,0.45,2.36,0.27,1.64,0.91,2.82,0.73,2.09,0.09,101.3
Fontbonne,James_Wiggins,16,16,27,10,108,23.9375,6.81,0.13,2.19,2.44,2.38,1.94,5.19,0.69,3.06,2.56,3.25,1.19,2.06,0.13,101.3
Fontbonne,Jared_Woodcock,16,16,27,10,109,23.25,9.94,0.94,0.94,1.75,3.25,2.5,7.5,0.44,1.69,3.19,3.75,1.31,2.44,0.25,101.3
Fontbonne,Kris_Mccann,16,16,27,10,111,31,18,1.19,4.75,3.13,6.69,3.44,15,0.88,1.69,4.88,3.69,1.25,2.44,0,101.3
Fontbonne,Logan_KelleyWolff,8,16,27,10,112,6.625,1.25,0,0.75,0.5,0.63,0,1.63,0.25,1.25,0.13,1.38,0.38,1,0.13,101.3
Fontbonne,Luke_Deline,12,16,27,10,114,27.75,16.33,2.58,2.33,3.5,6,1.75,12.08,1.5,1.67,2.58,6.33,0.92,5.42,0,101.3
Fontbonne,Maguire_Scheer,8,16,27,10,115,7.875,2.13,0.63,0.75,0.5,0.75,0,2.25,0.25,0.5,0,0.88,0.13,0.75,0,101.3
Fontbonne,Noah_Coddington,14,16,27,10,116,17.4286,7,0.21,1.93,1.64,2.71,1.36,5.36,0.43,2.14,1.86,5.5,1.29,4.21,0.79,101.3
Fontbonne,Thomas_Ritter,16,16,27,10,117,16.875,7.19,1.31,1,1.25,2.56,0.75,5.25,0.31,1.38,1.06,1.94,0.44,1.5,0.06,101.3
Fontbonne,Tristan_Baker,16,16,27,10,118,18.0625,9.19,0.94,1.38,1.25,2.88,2.5,5,0.5,1.88,3.63,3.56,1.06,2.5,0,101.3
Knox,Aaron_Crose,12,11,20,9,119,10.1667,2.92,0.25,0.42,0.83,0.83,1,2.33,0.08,2.42,1.83,1.17,0.5,0.67,0.08,80.32352941
Knox,Alik_Airapetyan,11,11,20,9,120,5.0909,1.09,0.18,0.45,0.91,0.45,0,1.36,0.09,0.55,0.09,0.91,0.09,0.82,0,80.32352941
Knox,Blake_Godbold,17,11,20,9,121,29.7059,8.12,0.76,1.29,1.71,3.06,1.24,7,0.76,1.94,1.35,6.06,1.24,4.82,0.29,80.32352941
Knox,Bryce_Wilkinson,16,11,20,9,122,9.375,3.75,0.81,0.5,0.81,1.06,0.81,2.69,0.19,1.25,0.88,1.31,0.56,0.75,0,80.32352941
Knox,Danny_Serrano,8,11,20,9,123,2.125,0,0,0.25,0,0,0,0,0.25,0.13,0,0.25,0,0.25,0,80.32352941
Knox,Deryk_Ruple,17,11,20,9,124,27.4118,10.06,2.12,1.82,1.65,3.76,0.41,10.71,0.88,1.24,0.94,2.88,0.35,2.53,0,80.32352941
Knox,Dj_Lewis,17,11,20,9,125,23.8235,7.35,0.94,2.35,2,2.76,0.88,7,1.18,2.82,1.59,2.53,0.29,2.24,0.18,80.32352941
Knox,Eric_Pillath,10,11,20,9,126,7.4,1.9,0.3,0.3,0.4,0.7,0.2,1.7,0.2,1.2,0.2,1,0.1,0.9,0,80.32352941
Knox,Eric_Thompson,9,11,20,9,127,11.6667,4.33,0,0.44,0.89,2,0.33,3.67,0.78,2,0.56,2.22,0.67,1.56,0.11,80.32352941
Knox,Garrett_Stone,14,11,20,9,128,8.5,0.57,0.07,0.43,0.57,0.14,0.21,0.71,0.21,0.86,0.36,0.5,0.14,0.36,0.07,80.32352941
Knox,Ikenna_Ozor,9,11,20,9,129,11.2222,4.11,0,0.67,0.56,1.78,0.56,2.33,0.22,1.44,0.89,1.89,0.67,1.22,0,80.32352941
Knox,Jacob_Kampf,11,11,20,9,130,19.4545,7.18,1.64,2.45,1.45,2.27,1,6.91,0.64,1.18,1.64,0.64,0.09,0.55,0,80.32352941
Knox,Jeremiah_Horton,10,11,20,9,131,3.9,1.9,0.3,0.2,0.3,0.8,0,1.2,0,0.1,0.1,0.6,0.1,0.5,0,80.32352941
Knox,John_Tsahageas,10,11,20,9,132,2.1,0.4,0,0.2,0.1,0.2,0,0.3,0,0.3,0,0.2,0.2,0,0,80.32352941
Knox,Jonathan_Damota,17,11,20,9,133,27.7647,12.06,0.53,1.29,3.18,4.71,2.12,10.35,1.24,2,2.82,3.24,1.12,2.12,0.24,80.32352941
Knox,Marko_Protic,17,11,20,9,134,22.6471,5.41,0.18,0.88,1.71,2.06,1.12,4.88,0.24,2.24,2,5.76,2.47,3.29,0.41,80.32352941
Knox,Sean_Pollock,10,11,20,9,135,2.1,0.4,0,0,0,0.2,0,0.4,0,0.1,0.4,0.1,0,0.1,0,80.32352941
Knox,Tyre_Dukes,15,11,20,9,136,10.2,1.4,0.13,0.93,0.87,0.53,0.2,1.2,0.2,0.6,0.6,0.8,0.13,0.67,0,80.32352941
MoodyBible,David_Arabis,5,11,17,4,138,20.8,9.8,2.6,4.8,4.2,3.6,0,9.8,1.2,1.6,0.8,4.4,1,3.4,0,87.1
MoodyBible,Jonah_Wilson,5,11,17,4,141,9.8,3.4,0.6,0.4,1,1.4,0,3.6,0.8,0.8,0.4,1.6,0.8,0.8,0,87.1
MoodyBible,Joshua_Wedeven,5,11,17,4,144,20.4,17.6,2.6,1.6,4,5.8,3.4,14.8,0.6,3,4.2,6,0.8,5.2,1.2,87.1
MoodyBible,Keynan_Carter,5,11,17,4,146,9.4,5.4,0,1.2,1.8,1.8,1.8,4.6,1.8,1.6,4.2,1.2,0,1.2,0.8,87.1
MoodyBible,Levi_Miller,5,11,17,4,147,21,12.4,2.8,2,2,4.4,0.8,12.2,0.4,2.4,1,3,0.2,2.8,0.2,87.1
MSOE,Bailey_Mcdaniel,23,13,22,2,151,7.7391,2.96,0.17,0.35,0.65,1,0.78,2.09,0.13,1.17,1.09,1.3,0.22,1.09,0.09,80.15384615
MSOE,Brian_Dorn,26,13,22,2,152,10.9615,2.31,0.04,0.77,1.04,0.88,0.5,1.85,0.19,1.19,0.85,1.35,0.5,0.85,0,80.15384615
MSOE,David_Llorente,11,13,22,2,153,2,0.45,0,0,0.36,0.18,0.09,0.64,0,0.45,0.18,0.09,0,0.09,0,80.15384615
MSOE,Eddie_Harwick,5,13,22,2,154,1.4,0.6,0,0.2,0,0.2,0.2,0.4,0,0,0.4,0.4,0,0.4,0,80.15384615
MSOE,Gabe_Wear,26,13,22,2,155,16.6538,4.58,0.62,0.85,1.23,1.58,0.81,3.54,0.19,1.54,0.96,1.58,0.5,1.08,0,80.15384615
MSOE,Jake_Gebert,26,13,22,2,156,20.8846,7.65,0.19,1.58,0.88,2.77,1.92,5.27,0.5,1.31,2.46,6.15,1.46,4.69,0.58,80.15384615
MSOE,Jason_Palesse,26,13,22,2,157,28.4231,12.46,0.77,4.96,2.65,3.96,3.77,9.5,1.04,1.54,5.35,4.31,1.42,2.88,0.19,80.15384615
MSOE,Josh_Herzog,10,13,22,2,158,5.2,1.4,0.1,1.1,0.9,0.4,0.5,1.1,0.6,0.3,0.9,0.4,0,0.4,0,80.15384615
MSOE,Luke_Nelson,19,13,22,2,160,5.6316,0.68,0.05,0.47,0.53,0.26,0.11,1.11,0.47,1.05,0.11,1.16,0.26,0.89,0,80.15384615
MSOE,Matthew_Kirmse,26,13,22,2,161,28.4615,16.08,3.31,1.15,0.85,5.46,1.85,12.88,0.58,1.15,2.38,4.69,0.58,4.12,0.12,80.15384615
MSOE,Nolan_Henton,26,13,22,2,163,23.7308,4.65,0.65,1.04,1.31,1.54,0.92,3.46,0.77,1.77,1.5,2.58,0.38,2.19,0.04,80.15384615
MSOE,Sammy_Linn,24,13,22,2,164,12.5833,5.13,0.29,1.38,2.13,2.13,0.58,4.83,0.75,2.92,0.96,3.04,0.5,2.54,0.58,80.15384615
MSOE,Tegan_Miles,26,13,22,2,165,27.3846,10.38,0,1.5,1.77,4.19,2,7.15,0.88,1.73,3,5.62,1.69,3.92,0.92,80.15384615
MSOE,Travis_Ballard,26,13,22,2,166,11.3462,5.65,0.12,0.08,0.35,2.42,0.69,5.12,0.19,1.35,0.92,2.12,0.58,1.54,0.42,80.15384615
Roosevelt,Adam_Alexander,33,10,23,6,167,26.2727,9.24,0.48,1.76,1.73,3.33,2.09,6.79,0.64,2.82,3.18,5.42,1.64,3.79,0.33,73.58823529
Roosevelt,Andre_Raiford_Jr.,13,10,23,6,168,8.0769,1.69,0,0.15,0.77,0.69,0.31,1.54,0,1.31,0.62,1.77,0.62,1.15,0.08,73.58823529
Roosevelt,Carson_Hughes,33,10,23,6,169,24.0303,8.91,1.97,1.18,1.27,2.88,1.18,7.58,0.7,1.7,1.58,3.15,0.45,2.7,0.06,73.58823529
Roosevelt,Chandler_Fuzak,30,10,23,6,170,13,6.3,0.8,0.47,1.27,2.47,0.57,4.17,0.43,2.23,0.77,2.47,0.37,2.1,0.63,73.58823529
Roosevelt,Grant_Gibson,33,10,23,6,171,23.7879,7.64,1.33,1.76,1.06,2.58,1.15,6.36,1.15,1.36,1.61,3.03,0.79,2.24,0.15,73.58823529
Roosevelt,Jake_Asquini,33,10,23,6,172,18.7273,6.09,1.79,1.06,0.97,2.09,0.12,4.97,0.58,1.36,0.15,1.97,0.24,1.73,0.03,73.58823529
Roosevelt,Jake_Ludwig,32,10,23,6,173,28.3125,17.16,1.22,5.44,2.53,5.41,5.13,11.09,1.34,2,5.84,3.88,0.75,3.13,0.06,73.58823529
